F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-1.40e-19,1.22e-20,7.10e-20,9.88e-01,2.68e-20,7.10e-21,2.08e-20,9.88e-01,3.84e-01,6.36e-05,2.08e-03,6.14e-05,-3.58e-11,-9.89e-04,2.00e-03,-9.88e-04,5.49e-11
1.04e+00,-8.88e-20,-7.45e-20,1.13e-19,9.78e-01,1.15e-20,-1.27e-19,1.21e-19,9.76e-01,7.49e-01,1.89e-04,4.40e-03,1.76e-04,4.81e-12,-1.96e-03,4.09e-03,-1.96e-03,3.34e-11
1.07e+00,-1.59e-19,-1.90e-20,2.84e-20,9.68e-01,4.05e-20,8.52e-20,1.31e-19,9.65e-01,1.09e+00,3.75e-04,6.93e-03,3.38e-04,1.76e-11,-2.94e-03,6.22e-03,-2.93e-03,8.00e-11
1.09e+00,-4.90e-19,-1.14e-19,-7.38e-19,9.58e-01,2.05e-20,1.70e-19,2.13e-19,9.54e-01,1.43e+00,6.19e-04,9.66e-03,5.39e-04,-8.95e-11,-3.90e-03,8.38e-03,-3.89e-03,-2.98e-11
1.12e+00,-6.81e-19,-6.21e-20,-3.83e-19,9.48e-01,4.11e-20,1.13e-19,1.95e-19,9.44e-01,1.75e+00,9.17e-04,1.25e-02,7.73e-04,-4.77e-11,-4.87e-03,1.05e-02,-4.84e-03,-5.44e-11
1.14e+00,-5.61e-19,3.46e-20,-2.27e-19,9.39e-01,2.94e-21,5.11e-19,1.95e-19,9.34e-01,2.06e+00,1.26e-03,1.56e-02,1.03e-03,-6.43e-12,-5.82e-03,1.26e-02,-5.79e-03,3.34e-12
1.17e+00,-5.96e-19,5.94e-20,-8.52e-20,9.30e-01,2.69e-20,5.68e-19,1.74e-19,9.24e-01,2.36e+00,1.65e-03,1.88e-02,1.31e-03,-2.12e-10,-6.78e-03,1.48e-02,-6.73e-03,-3.04e-10
1.19e+00,-8.80e-19,-8.88e-20,1.13e-19,9.21e-01,9.21e-20,2.27e-19,8.88e-20,9.15e-01,2.64e+00,2.09e-03,2.21e-02,1.60e-03,2.68e-11,-7.72e-03,1.68e-02,-7.67e-03,6.01e-11
1.22e+00,-8.66e-19,3.72e-20,5.68e-20,9.13e-01,1.41e-19,6.81e-19,1.13e-19,9.06e-01,2.92e+00,2.55e-03,2.55e-02,1.90e-03,-1.14e-11,-8.66e-03,1.88e-02,-8.59e-03,-2.29e-11
1.24e+00,-7.10e-19,1.98e-19,1.42e-19,9.05e-01,1.05e-19,3.40e-19,8.88e-20,8.97e-01,3.19e+00,3.05e-03,2.90e-02,2.21e-03,3.71e-11,-9.60e-03,2.08e-02,-9.51e-03,4.70e-11
