index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
32,phr_22.21_id33,1032,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6733,788,77,3970,0,0.10192883737857283,22.2060338284723,,
33,phr_32.98_id34,1033,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6747,1117,83,6261,0,0.1442448819621911,32.97885590967175,,
34,phr_37.37_id35,1034,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6830,1254,53,7575,0,0.16037384971625335,37.370789755875116,,
35,phr_29.96_id36,1035,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6751,1041,66,5833,0,0.13279103528536634,29.95916300092092,,
36,phr_34.31_id37,1036,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6815,1133,56,6697,0,0.14918395341675764,34.306081691978434,,
37,phr_34.71_id38,1037,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6773,1160,73,7081,0,0.15066367522905694,34.7067171491147,,
38,phr_30.69_id39,1038,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6807,1029,59,6111,0,0.135602506728735,30.69296872799836,,
39,phr_36.50_id40,1039,skipped,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6739,1215,73,6756,0,0.1572304406771527,36.501647672832334,,
40,phr_41.80_id41,1040,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6839,1356,65,8579,0,0.17603890468591904,41.80099593408864,,
41,phr_37.49_id42,1041,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6838,1250,75,7332,0,0.16080976776366043,37.49183372352578,,
42,phr_45.97_id43,1042,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6707,1453,59,9273,0,0.19024023483585087,45.96538024313538,,
43,phr_48.45_id44,1043,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6762,1505,75,9840,0,0.19847468675888932,48.4476326443926,,
44,phr_42.34_id45,1044,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6636,1351,71,8728,0,0.1778945558235052,42.33697370661349,,
45,phr_38.97_id46,1045,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6814,1257,77,8017,0,0.16608477606210031,38.96660782491095,,
46,phr_35.92_id47,1046,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6685,1194,45,6911,0,0.1551108391622375,35.91923566574865,,
47,phr_43.29_id48,1047,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6841,1378,56,8590,0,0.181165940803129,43.2877818881882,,
48,phr_40.66_id49,1048,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6765,1323,54,8168,0,0.17204365579271097,40.65518127772677,,
49,phr_31.37_id50,1049,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6812,1075,55,6180,0,0.13818602102804672,31.371497884940602,,
50,phr_32.02_id51,1050,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6888,1096,91,6051,0,0.14064955788311798,32.022316404414724,,
51,phr_33.28_id52,1051,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6752,1100,95,6615,0,0.14538866693061706,33.28484849964567,,
52,phr_42.65_id53,1052,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6790,1382,69,8320,0,0.1789743528216695,42.64997241509301,,
53,phr_38.55_id54,1053,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6784,1273,65,7659,0,0.16460505424980104,38.55103129948564,,
54,phr_36.29_id55,1054,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6847,1216,69,7102,0,0.1564465880414482,36.28592406557853,,
55,phr_36.87_id56,1055,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6716,1231,75,7206,0,0.1585581910600807,36.86797404529675,,
56,phr_27.69_id57,1056,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6722,966,55,5606,0,0.12397269313369087,27.688094568909257,,
57,phr_30.03_id58,1057,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6714,1017,53,6082,0,0.1330789811515435,30.034099298939587,,
58,phr_38.32_id59,1058,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6660,1270,100,7707,0,0.163769211388259,38.316936741029906,,
59,phr_48.36_id60,1059,skipped,3.0,250.0,0.1,3.5,0.25,0.5,1.8,0.4,6715,1490,56,10038,0,0.19819473938899487,48.362406091020496,,
60,phr_60.41_id61,1060,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6765,1740,55,12484,0,0.23590764936191996,60.406107196115386,,
61,phr_45.55_id62,1061,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6730,1429,45,9731,0,0.1888444972345199,45.54963418171107,,
62,phr_44.75_id63,1062,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6772,1448,52,9140,0,0.18616100173167444,44.754312295345706,,
63,phr_62.24_id64,1063,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6706,1816,66,12521,0,0.24132663059344844,62.23505635323864,,
64,phr_50.14_id65,1064,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6706,1556,68,10160,0,0.20400564693837558,50.143758131585535,,
65,phr_54.63_id66,1065,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6815,1674,74,10748,0,0.21825896731414493,54.62530383535417,,
66,phr_44.45_id67,1066,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6716,1430,80,8812,0,0.1851131987186409,44.445191273621134,,
67,phr_47.04_id68,1067,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6620,1480,54,9912,0,0.1938275604186413,47.040535868308844,,
68,phr_57.48_id69,1068,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6882,1725,60,11958,0,0.22706131247325503,57.475502408985086,,
69,phr_53.42_id70,1069,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6698,1618,71,11222,0,0.21447567857242839,53.41990263001666,,
70,phr_45.16_id71,1070,skipped,3.0,250.0,0.1,4,0.25,0.5,1.8,0.4,6675,1421,59,9275,0,0.18752874459601596,45.15902108210697,,
