F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-1.73e-17,1.25e-18,-5.91e-18,9.60e-01,-1.57e-18,1.13e-18,4.15e-18,9.57e-01,1.75e+00,-9.81e-03,1.63e-02,-9.77e-03,-1.23e-07,1.14e-02,1.62e-02,1.14e-02,-1.01e-07
1.20e+00,-2.81e-17,7.72e-18,-1.59e-17,9.31e-01,-1.22e-17,3.86e-18,3.94e-18,9.24e-01,3.15e+00,-2.20e-02,3.29e-02,-2.18e-02,-8.15e-10,2.30e-02,3.27e-02,2.31e-02,-4.52e-10
1.30e+00,-4.27e-17,1.13e-17,-2.31e-17,9.10e-01,-1.24e-17,-1.63e-17,7.68e-18,9.00e-01,4.36e+00,-3.52e-02,4.98e-02,-3.48e-02,-6.57e-10,3.63e-02,4.93e-02,3.65e-02,-4.86e-10
1.40e+00,-2.54e-17,1.81e-17,-6.81e-18,8.95e-01,-1.39e-17,-2.36e-17,4.26e-18,8.81e-01,5.46e+00,-4.87e-02,6.71e-02,-4.80e-02,-7.84e-10,5.13e-02,6.63e-02,5.18e-02,-8.28e-10
1.50e+00,-3.36e-17,1.90e-17,-3.45e-17,8.87e-01,-2.53e-17,-3.18e-17,2.87e-18,8.68e-01,6.49e+00,-6.20e-02,8.49e-02,-6.09e-02,-9.48e-10,6.74e-02,8.36e-02,6.84e-02,-1.46e-09
1.60e+00,-3.27e-17,1.63e-17,-1.72e-17,8.85e-01,-2.62e-17,-4.36e-17,-3.36e-18,8.61e-01,7.48e+00,-7.48e-02,1.03e-01,-7.31e-02,-1.55e-09,8.36e-02,1.01e-01,8.51e-02,-2.54e-09
