F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.36e-17,1.30e-18,-8.65e-18,9.64e-01,9.73e-19,-6.81e-19,-3.78e-18,9.56e-01,2.04e+00,3.38e-03,-2.71e-02,3.39e-03,-1.38e-07,-1.50e-02,-2.70e-02,-1.50e-02,-1.49e-07
1.20e+00,1.17e-17,2.30e-17,2.89e-18,9.39e-01,-4.28e-18,1.40e-17,-4.57e-18,9.23e-01,3.67e+00,9.40e-03,-5.55e-02,9.40e-03,-8.50e-10,-2.82e-02,-5.51e-02,-2.83e-02,-6.10e-10
1.30e+00,1.27e-17,4.81e-17,1.39e-17,9.24e-01,-3.85e-18,1.95e-17,-1.10e-17,8.98e-01,5.10e+00,1.70e-02,-8.66e-02,1.70e-02,-5.23e-07,-3.99e-02,-8.57e-02,-4.01e-02,-5.95e-07
1.40e+00,9.54e-18,4.06e-17,5.00e-18,9.16e-01,1.07e-17,2.27e-17,-1.05e-17,8.81e-01,6.41e+00,2.58e-02,-1.20e-01,2.58e-02,-7.11e-07,-5.01e-02,-1.19e-01,-5.05e-02,-8.34e-07
1.50e+00,-1.22e-17,4.41e-17,-3.86e-18,9.16e-01,1.29e-17,1.77e-17,-2.91e-18,8.70e-01,7.66e+00,3.57e-02,-1.58e-01,3.57e-02,-1.18e-10,-5.86e-02,-1.55e-01,-5.94e-02,-1.23e-10
1.60e+00,-1.71e-17,4.50e-17,-1.14e-17,9.23e-01,7.89e-18,1.81e-17,-4.00e-18,8.65e-01,8.85e+00,4.64e-02,-1.98e-01,4.64e-02,-1.14e-09,-6.55e-02,-1.93e-01,-6.67e-02,-1.68e-09
