F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-4.88e-18,2.61e-18,-2.09e-17,9.58e-01,2.09e-18,4.31e-18,6.33e-18,9.58e-01,1.62e+00,-9.52e-03,-8.11e-03,-9.50e-03,-3.70e-09,-3.83e-02,-8.10e-03,-3.83e-02,-1.03e-09
1.20e+00,-2.68e-17,-1.07e-17,-3.36e-17,9.26e-01,2.65e-18,5.34e-18,8.34e-18,9.26e-01,2.92e+00,-1.95e-02,-1.77e-02,-1.94e-02,-9.08e-09,-7.38e-02,-1.76e-02,-7.38e-02,-3.80e-09
1.30e+00,-3.04e-17,-2.04e-17,-1.54e-17,9.02e-01,8.55e-18,-7.04e-18,3.51e-18,9.01e-01,4.04e+00,-3.06e-02,-2.95e-02,-3.04e-02,-5.26e-10,-1.11e-01,-2.92e-02,-1.11e-01,-2.79e-10
1.40e+00,-2.72e-17,-1.59e-17,9.09e-19,8.83e-01,7.45e-18,-1.65e-17,1.44e-18,8.83e-01,5.06e+00,-4.31e-02,-4.33e-02,-4.26e-02,-1.88e-10,-1.53e-01,-4.27e-02,-1.53e-01,-1.05e-10
1.50e+00,-3.63e-17,-2.22e-17,1.81e-18,8.70e-01,9.98e-18,-2.36e-17,-8.92e-18,8.71e-01,6.02e+00,-5.71e-02,-5.89e-02,-5.61e-02,-9.08e-11,-2.01e-01,-5.79e-02,-2.01e-01,-9.35e-11
1.60e+00,-4.36e-17,-2.04e-17,-3.45e-17,8.62e-01,8.95e-18,-3.18e-18,-5.83e-18,8.64e-01,6.93e+00,-7.24e-02,-7.58e-02,-7.09e-02,-2.61e-10,-2.57e-01,-7.43e-02,-2.56e-01,-2.34e-10
