F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-4.17e-20,5.16e-20,-1.13e-19,9.88e-01,2.62e-20,2.09e-19,-1.60e-20,9.88e-01,3.22e-01,-9.93e-04,2.70e-04,-9.58e-04,5.36e-11,9.01e-04,2.60e-04,9.00e-04,1.15e-10
1.04e+00,-9.59e-20,9.92e-20,-4.12e-19,9.77e-01,6.62e-20,1.56e-19,-5.35e-20,9.76e-01,6.30e-01,-2.09e-03,5.81e-04,-1.95e-03,3.89e-11,1.73e-03,5.40e-04,1.73e-03,4.63e-11
1.07e+00,-1.06e-20,1.22e-19,-7.95e-19,9.67e-01,8.00e-20,-1.84e-19,-3.77e-20,9.65e-01,9.24e-01,-3.29e-03,9.31e-04,-2.96e-03,-4.43e-11,2.50e-03,8.36e-04,2.50e-03,-3.53e-11
1.09e+00,1.88e-19,1.57e-19,-9.94e-19,9.57e-01,8.86e-20,-2.41e-19,-1.95e-20,9.54e-01,1.20e+00,-4.58e-03,1.31e-03,-3.99e-03,-2.05e-11,3.22e-03,1.14e-03,3.21e-03,-5.34e-12
1.12e+00,1.66e-19,1.40e-19,-1.10e-18,9.47e-01,6.66e-20,1.84e-19,5.23e-20,9.44e-01,1.47e+00,-5.96e-03,1.73e-03,-5.02e-03,-8.64e-11,3.88e-03,1.45e-03,3.86e-03,-1.00e-10
1.14e+00,1.42e-19,1.66e-19,-1.07e-18,9.38e-01,5.88e-20,3.55e-19,1.95e-20,9.34e-01,1.73e+00,-7.42e-03,2.18e-03,-6.05e-03,-7.85e-11,4.49e-03,1.77e-03,4.47e-03,-8.79e-11
1.17e+00,-2.69e-19,2.25e-19,-1.42e-18,9.29e-01,4.80e-20,5.25e-19,5.68e-20,9.24e-01,1.98e+00,-8.95e-03,2.65e-03,-7.08e-03,7.16e-11,5.06e-03,2.09e-03,5.03e-03,9.27e-11
1.19e+00,-2.91e-19,2.77e-19,-9.66e-19,9.20e-01,2.89e-20,7.67e-19,-4.79e-20,9.14e-01,2.22e+00,-1.05e-02,3.15e-03,-8.09e-03,1.90e-12,5.59e-03,2.40e-03,5.55e-03,-4.72e-12
1.22e+00,-9.23e-20,2.18e-19,-1.02e-18,9.11e-01,2.44e-20,7.38e-19,-9.76e-20,9.05e-01,2.45e+00,-1.22e-02,3.66e-03,-9.08e-03,-3.99e-11,6.07e-03,2.70e-03,6.03e-03,-3.00e-11
1.24e+00,7.10e-21,2.63e-19,-9.09e-19,9.03e-01,4.34e-20,5.96e-19,-1.05e-19,8.96e-01,2.68e+00,-1.39e-02,4.18e-03,-1.00e-02,-2.03e-10,6.53e-03,2.99e-03,6.48e-03,-2.05e-10
1.27e+00,1.49e-19,2.22e-19,-1.07e-18,8.95e-01,6.33e-20,9.94e-19,-8.52e-20,8.88e-01,2.89e+00,-1.56e-02,4.70e-03,-1.10e-02,-3.04e-07,6.95e-03,3.27e-03,6.89e-03,-3.38e-07
1.29e+00,1.42e-20,2.73e-19,-1.42e-18,8.87e-01,-9.43e-21,7.67e-19,-1.74e-19,8.79e-01,3.11e+00,-1.74e-02,5.23e-03,-1.19e-02,-5.04e-11,7.34e-03,3.54e-03,7.28e-03,-6.42e-11
1.32e+00,-3.48e-19,3.14e-19,-9.66e-19,8.80e-01,8.70e-20,9.09e-19,-2.20e-19,8.71e-01,3.31e+00,-1.92e-02,5.75e-03,-1.28e-02,-8.07e-11,7.71e-03,3.78e-03,7.63e-03,-1.00e-10
1.34e+00,-1.27e-19,1.61e-19,-1.36e-18,8.73e-01,-1.00e-19,2.84e-19,-1.58e-19,8.63e-01,3.51e+00,-2.11e-02,6.27e-03,-1.36e-02,-1.29e-08,8.05e-03,4.01e-03,7.96e-03,-1.27e-08
1.37e+00,-8.52e-20,3.37e-19,-1.25e-18,8.66e-01,3.31e-20,5.68e-20,-1.54e-19,8.56e-01,3.71e+00,-2.30e-02,6.79e-03,-1.44e-02,-7.96e-09,8.37e-03,4.23e-03,8.28e-03,-7.93e-09
