F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.69e-17,1.23e-18,7.55e-18,9.62e-01,-6.43e-18,-5.11e-19,1.85e-18,9.55e-01,1.73e+00,4.36e-03,-1.97e-02,4.36e-03,-4.45e-08,-2.01e-02,-1.97e-02,-2.01e-02,-7.32e-08
1.20e+00,1.73e-17,2.11e-17,2.00e-17,9.34e-01,-5.23e-18,1.14e-17,1.20e-17,9.21e-01,3.11e+00,9.86e-03,-3.96e-02,9.82e-03,-1.21e-07,-3.83e-02,-3.94e-02,-3.83e-02,-1.65e-07
1.29e+00,2.51e-17,1.01e-17,4.27e-17,9.14e-01,-2.20e-19,1.09e-17,1.26e-17,8.95e-01,4.29e+00,1.63e-02,-6.08e-02,1.62e-02,-7.81e-09,-5.64e-02,-6.03e-02,-5.64e-02,-1.15e-08
1.40e+00,1.84e-17,8.35e-18,3.64e-17,9.00e-01,-1.02e-18,6.47e-18,6.83e-18,8.76e-01,5.37e+00,2.34e-02,-8.35e-02,2.32e-02,-7.76e-10,-7.57e-02,-8.25e-02,-7.57e-02,-7.58e-10
1.50e+00,1.27e-17,1.30e-17,4.76e-17,8.92e-01,1.39e-18,-1.25e-17,1.46e-17,8.62e-01,6.37e+00,3.06e-02,-1.07e-01,3.02e-02,-5.04e-10,-9.71e-02,-1.06e-01,-9.70e-02,-3.21e-10
1.60e+00,1.86e-17,4.38e-17,4.51e-17,8.90e-01,1.27e-18,-3.53e-17,1.11e-17,8.53e-01,7.34e+00,3.73e-02,-1.32e-01,3.67e-02,-9.27e-10,-1.21e-01,-1.30e-01,-1.20e-01,-8.28e-10
