F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-2.05e-17,7.42e-18,1.77e-17,9.56e-01,-5.13e-18,-3.31e-17,-9.52e-18,9.55e-01,1.16e+00,-4.22e-03,2.39e-03,-3.67e-03,-5.33e-07,-7.50e-03,2.07e-03,-7.49e-03,-6.41e-07
1.20e+00,-1.58e-17,3.59e-18,2.84e-17,9.18e-01,-8.40e-18,-1.78e-17,-2.05e-17,9.16e-01,2.14e+00,-9.88e-03,2.65e-03,-7.56e-03,2.98e-10,-1.44e-02,2.03e-03,-1.44e-02,9.23e-10
1.30e+00,3.04e-18,-8.96e-19,6.15e-17,8.84e-01,8.86e-19,-5.72e-18,-2.57e-17,8.82e-01,3.00e+00,-1.67e-02,9.49e-04,-1.13e-02,1.56e-08,-2.07e-02,6.44e-04,-2.06e-02,1.47e-08
1.40e+00,3.42e-17,-2.78e-17,8.21e-17,8.54e-01,9.05e-18,-2.79e-17,-2.63e-17,8.51e-01,3.77e+00,-2.44e-02,-2.55e-03,-1.49e-02,1.17e-08,-2.61e-02,-1.55e-03,-2.60e-02,1.38e-08
1.50e+00,-8.38e-17,-3.49e-17,1.01e-16,8.28e-01,1.77e-17,8.39e-17,1.03e-17,8.24e-01,4.46e+00,-3.29e-02,-7.37e-03,-1.81e-02,-1.42e-11,-3.01e-02,-4.05e-03,-3.00e-02,-1.95e-11
