F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-1.43e-19,-4.82e-21,1.13e-19,9.88e-01,7.63e-21,-2.13e-19,1.00e-19,9.88e-01,4.41e-01,8.71e-04,-3.80e-04,8.40e-04,6.46e-11,-5.81e-04,-3.67e-04,-5.81e-04,8.66e-12
1.04e+00,-1.42e-19,3.05e-20,3.40e-19,9.77e-01,-2.56e-20,-2.48e-19,7.99e-20,9.77e-01,8.63e-01,1.94e-03,-7.74e-04,1.81e-03,3.70e-12,-1.14e-03,-7.20e-04,-1.14e-03,-2.47e-11
1.07e+00,-4.40e-19,1.17e-19,4.54e-19,9.66e-01,-7.38e-20,-5.82e-19,-5.86e-20,9.67e-01,1.26e+00,3.23e-03,-1.17e-03,2.91e-03,1.18e-11,-1.69e-03,-1.05e-03,-1.69e-03,-4.64e-11
1.09e+00,-8.52e-19,2.32e-19,4.54e-19,9.56e-01,-5.19e-20,-7.81e-20,-2.48e-20,9.57e-01,1.65e+00,4.74e-03,-1.56e-03,4.12e-03,-1.32e-10,-2.21e-03,-1.36e-03,-2.22e-03,-1.72e-10
1.12e+00,-1.25e-18,-2.22e-22,4.54e-19,9.46e-01,-8.41e-20,-1.84e-19,-9.41e-20,9.47e-01,2.02e+00,6.47e-03,-1.95e-03,5.45e-03,-1.48e-10,-2.71e-03,-1.64e-03,-2.72e-03,-1.73e-10
1.14e+00,-9.94e-19,-2.61e-20,6.81e-19,9.36e-01,-9.96e-20,-5.39e-19,-2.89e-19,9.37e-01,2.38e+00,8.42e-03,-2.33e-03,6.86e-03,-2.82e-10,-3.19e-03,-1.90e-03,-3.19e-03,-2.82e-10
1.17e+00,-2.25e-18,1.32e-19,4.54e-19,9.27e-01,-9.62e-20,-3.40e-19,-2.69e-19,9.28e-01,2.72e+00,1.05e-02,-2.70e-03,8.36e-03,-8.26e-12,-3.63e-03,-2.14e-03,-3.64e-03,-8.80e-12
1.19e+00,-1.44e-18,7.70e-20,0.00e+00,9.18e-01,-7.58e-20,0.00e+00,-3.44e-19,9.19e-01,3.05e+00,1.29e-02,-3.07e-03,9.93e-03,2.54e-10,-4.05e-03,-2.35e-03,-4.05e-03,3.66e-10
1.22e+00,-1.25e-18,1.08e-19,-4.54e-19,9.10e-01,-1.68e-19,2.84e-19,-4.90e-19,9.11e-01,3.37e+00,1.55e-02,-3.43e-03,1.15e-02,-5.85e-11,-4.43e-03,-2.55e-03,-4.43e-03,-8.57e-11
1.24e+00,-1.93e-18,7.21e-20,-4.54e-19,9.01e-01,-1.66e-19,-8.52e-20,-6.67e-19,9.03e-01,3.68e+00,1.83e-02,-3.79e-03,1.32e-02,1.09e-11,-4.77e-03,-2.74e-03,-4.78e-03,5.03e-12
1.27e+00,-2.15e-18,2.29e-19,-4.54e-19,8.93e-01,-2.38e-19,-6.81e-19,-8.41e-19,8.94e-01,3.99e+00,2.13e-02,-4.15e-03,1.49e-02,-1.43e-11,-5.08e-03,-2.91e-03,-5.09e-03,-3.27e-11
1.29e+00,-2.21e-18,3.38e-19,-9.09e-19,8.85e-01,-2.59e-19,-1.13e-18,-7.70e-19,8.87e-01,4.28e+00,2.45e-02,-4.51e-03,1.67e-02,1.28e-09,-5.36e-03,-3.08e-03,-5.37e-03,1.22e-09
1.32e+00,-1.53e-18,1.60e-19,-9.09e-19,8.77e-01,-1.27e-20,-2.78e-18,-1.45e-19,8.79e-01,4.57e+00,2.78e-02,-4.89e-03,1.84e-02,3.99e-09,-5.60e-03,-3.24e-03,-5.61e-03,4.03e-09
1.34e+00,-7.38e-19,1.13e-19,-4.54e-19,8.70e-01,1.81e-19,-2.50e-18,-3.55e-19,8.72e-01,4.84e+00,3.13e-02,-5.27e-03,2.02e-02,2.32e-09,-5.79e-03,-3.40e-03,-5.80e-03,2.68e-09
1.37e+00,5.68e-20,7.41e-20,0.00e+00,8.63e-01,3.34e-19,-3.18e-18,-6.39e-19,8.65e-01,5.11e+00,3.49e-02,-5.67e-03,2.19e-02,-2.00e-09,-5.92e-03,-3.57e-03,-5.93e-03,-2.05e-09
1.39e+00,1.30e-18,-2.95e-19,4.54e-18,8.56e-01,8.90e-19,-6.81e-18,-7.31e-19,8.58e-01,5.38e+00,3.87e-02,-6.19e-03,2.36e-02,-1.12e-08,-6.02e-03,-3.79e-03,-6.03e-03,-1.12e-08
1.42e+00,2.10e-18,1.11e-18,1.81e-18,8.49e-01,-6.18e-19,-6.76e-18,-2.44e-18,8.51e-01,5.63e+00,4.26e-02,-6.91e-03,2.54e-02,-5.42e-10,-6.03e-03,-4.13e-03,-6.04e-03,-5.49e-10
1.44e+00,2.84e-18,1.32e-18,4.54e-19,8.42e-01,-2.03e-19,-6.81e-18,-2.41e-18,8.44e-01,5.88e+00,4.66e-02,-7.81e-03,2.71e-02,1.24e-10,-5.85e-03,-4.55e-03,-5.86e-03,1.20e-11
1.47e+00,1.93e-18,1.12e-18,9.09e-19,8.36e-01,-1.60e-19,-7.04e-18,-2.95e-18,8.38e-01,6.13e+00,5.08e-02,-8.89e-03,2.88e-02,-2.60e-12,-5.53e-03,-5.05e-03,-5.54e-03,-5.15e-12
1.49e+00,7.95e-19,1.41e-18,0.00e+00,8.30e-01,2.06e-19,-7.84e-18,-2.40e-18,8.32e-01,6.36e+00,5.50e-02,-1.01e-02,3.04e-02,-3.04e-10,-5.12e-03,-5.63e-03,-5.13e-03,-1.40e-10
