F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.01e-18,2.41e-18,1.56e-17,9.56e-01,1.59e-18,-8.52e-19,1.56e-18,9.57e-01,1.26e+00,5.73e-03,-4.24e-03,5.71e-03,-1.47e-08,-3.85e-03,-4.23e-03,-3.85e-03,-1.59e-08
1.20e+00,4.39e-18,4.54e-19,2.10e-17,9.20e-01,-1.84e-18,-4.60e-18,4.75e-18,9.22e-01,2.29e+00,1.15e-02,-9.39e-03,1.15e-02,-1.07e-07,-7.43e-03,-9.35e-03,-7.40e-03,-1.21e-07
1.30e+00,8.12e-18,-1.48e-17,3.31e-17,8.91e-01,3.08e-18,-1.18e-17,5.72e-18,8.94e-01,3.18e+00,1.77e-02,-1.53e-02,1.75e-02,-1.79e-07,-1.09e-02,-1.52e-02,-1.08e-02,-2.26e-07
1.40e+00,-5.34e-18,-4.31e-18,5.22e-18,8.66e-01,4.20e-18,-2.22e-17,1.19e-17,8.71e-01,3.98e+00,2.41e-02,-2.20e-02,2.37e-02,-2.31e-07,-1.43e-02,-2.17e-02,-1.42e-02,-2.97e-07
1.50e+00,2.55e-18,4.09e-18,3.29e-18,8.45e-01,2.12e-18,-1.13e-17,-2.94e-19,8.52e-01,4.71e+00,3.11e-02,-2.94e-02,3.04e-02,-3.45e-07,-1.78e-02,-2.89e-02,-1.75e-02,-4.27e-07
1.60e+00,-1.14e-17,-5.91e-18,1.11e-17,8.29e-01,3.28e-18,1.02e-17,-3.94e-18,8.37e-01,5.39e+00,3.87e-02,-3.75e-02,3.76e-02,-5.61e-07,-2.14e-02,-3.67e-02,-2.10e-02,-6.80e-07
1.70e+00,-2.17e-17,4.54e-19,-1.59e-18,8.15e-01,-2.40e-18,9.09e-18,-2.70e-18,8.26e-01,6.04e+00,4.69e-02,-4.61e-02,4.54e-02,-7.12e-11,-2.49e-02,-4.50e-02,-2.44e-02,-8.46e-11
1.80e+00,-1.25e-17,9.09e-19,1.11e-17,8.05e-01,4.54e-19,9.09e-19,1.53e-18,8.18e-01,6.67e+00,5.59e-02,-5.53e-02,5.38e-02,-3.86e-10,-2.85e-02,-5.37e-02,-2.77e-02,-3.86e-10
