F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.07e-17,-7.90e-18,-9.97e-18,9.56e-01,3.14e-18,-6.92e-18,-2.69e-19,9.56e-01,1.21e+00,8.98e-04,2.69e-03,8.96e-04,-6.17e-11,3.11e-03,2.68e-03,3.11e-03,-7.05e-11
1.20e+00,2.95e-18,-1.40e-17,-6.19e-18,9.21e-01,-4.01e-19,-2.16e-17,7.13e-19,9.20e-01,2.20e+00,1.77e-03,5.89e-03,1.76e-03,-6.99e-10,6.48e-03,5.86e-03,6.49e-03,-1.04e-09
1.30e+00,8.29e-18,-2.45e-18,-1.87e-17,8.91e-01,1.96e-18,-2.26e-17,3.75e-18,8.90e-01,3.05e+00,2.60e-03,9.46e-03,2.57e-03,-1.72e-09,1.03e-02,9.36e-03,1.03e-02,-2.76e-09
1.40e+00,-6.59e-18,7.10e-18,-2.72e-17,8.66e-01,2.73e-18,-1.04e-17,3.33e-18,8.65e-01,3.81e+00,3.38e-03,1.33e-02,3.30e-03,-2.09e-09,1.48e-02,1.31e-02,1.49e-02,-3.24e-09
1.50e+00,-1.04e-17,1.59e-17,-1.06e-17,8.44e-01,5.83e-18,-1.46e-17,5.82e-19,8.44e-01,4.51e+00,4.12e-03,1.75e-02,3.98e-03,-2.38e-09,2.03e-02,1.71e-02,2.03e-02,-3.35e-09
1.60e+00,-1.34e-17,3.63e-18,-3.63e-17,8.27e-01,9.29e-18,-9.49e-18,-5.83e-18,8.27e-01,5.16e+00,4.84e-03,2.21e-02,4.61e-03,-3.41e-09,2.68e-02,2.14e-02,2.69e-02,-4.26e-09
1.70e+00,-3.61e-17,1.64e-17,-5.59e-17,8.12e-01,8.00e-18,7.95e-19,-2.06e-19,8.13e-01,5.77e+00,5.55e-03,2.71e-02,5.20e-03,-6.39e-09,3.46e-02,2.61e-02,3.47e-02,-7.47e-09
1.80e+00,-3.93e-17,1.31e-17,-6.09e-17,8.01e-01,6.11e-18,2.27e-19,-4.81e-18,8.02e-01,6.35e+00,6.24e-03,3.26e-02,5.74e-03,-1.44e-08,4.38e-02,3.12e-02,4.39e-02,-1.72e-08
1.90e+00,-4.27e-17,2.92e-17,-6.36e-17,7.91e-01,7.47e-18,-2.10e-17,-1.43e-17,7.94e-01,6.91e+00,6.90e-03,3.87e-02,6.21e-03,-3.74e-08,5.46e-02,3.67e-02,5.47e-02,-4.71e-08
2.00e+00,-2.72e-18,5.08e-17,-4.09e-17,7.85e-01,2.04e-17,-3.06e-17,-1.34e-17,7.89e-01,7.46e+00,7.45e-03,4.54e-02,6.56e-03,-1.10e-07,6.70e-02,4.28e-02,6.71e-02,-1.45e-07
