F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.10e-21,-3.90e-19,2.27e-19,9.58e-01,9.25e-20,-2.13e-20,-6.52e-20,9.58e-01,1.10e+00,1.12e-03,9.53e-05,1.12e-03,-3.86e-09,1.11e-03,9.48e-05,1.11e-03,-3.90e-09
1.20e+00,-7.10e-19,-2.55e-19,1.42e-20,9.22e-01,2.94e-19,3.97e-19,-2.31e-19,9.23e-01,2.01e+00,2.26e-03,3.82e-04,2.24e-03,-9.03e-09,2.21e-03,3.76e-04,2.21e-03,-9.11e-09
1.30e+00,-7.38e-19,-5.96e-19,5.68e-20,8.92e-01,3.62e-19,-1.42e-19,-1.33e-19,8.93e-01,2.79e+00,3.44e-03,8.25e-04,3.37e-03,-1.66e-08,3.35e-03,8.03e-04,3.35e-03,-1.67e-08
1.40e+00,-1.19e-18,-9.09e-19,6.81e-19,8.66e-01,-5.94e-19,-9.09e-19,-2.90e-19,8.67e-01,3.49e+00,4.67e-03,1.39e-03,4.52e-03,-2.45e-08,4.57e-03,1.33e-03,4.56e-03,-2.47e-08
1.50e+00,-2.38e-18,-1.07e-18,1.81e-18,8.44e-01,-7.98e-19,-1.13e-18,-3.48e-19,8.45e-01,4.12e+00,5.96e-03,2.07e-03,5.68e-03,-3.28e-08,5.89e-03,1.95e-03,5.87e-03,-3.31e-08
1.60e+00,-2.21e-18,-5.68e-19,3.06e-18,8.25e-01,-7.01e-19,-5.68e-19,-5.71e-19,8.25e-01,4.70e+00,7.30e-03,2.83e-03,6.84e-03,-4.28e-08,7.31e-03,2.61e-03,7.28e-03,-4.34e-08
1.70e+00,-1.59e-18,-1.25e-18,2.89e-18,8.08e-01,-3.01e-20,-9.09e-19,-7.28e-19,8.09e-01,5.24e+00,8.69e-03,3.67e-03,7.99e-03,-5.68e-08,8.83e-03,3.31e-03,8.78e-03,-5.75e-08
1.80e+00,-5.68e-19,-5.68e-19,3.06e-18,7.93e-01,2.85e-19,-1.70e-18,-1.08e-18,7.94e-01,5.76e+00,1.01e-02,4.56e-03,9.11e-03,-7.79e-08,1.04e-02,4.02e-03,1.03e-02,-7.79e-08
1.90e+00,-7.38e-19,-5.68e-19,-7.95e-19,7.81e-01,-9.23e-20,-3.29e-18,-6.80e-19,7.82e-01,6.24e+00,1.15e-02,5.50e-03,1.01e-02,-1.11e-07,1.21e-02,4.74e-03,1.20e-02,-1.08e-07
2.00e+00,-1.02e-18,-9.09e-19,-5.68e-19,7.70e-01,1.81e-19,-1.81e-18,1.06e-19,7.71e-01,6.71e+00,1.29e-02,6.49e-03,1.12e-02,-1.68e-07,1.38e-02,5.44e-03,1.36e-02,-1.58e-07
