F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-3.63e-18,-6.39e-19,3.97e-19,9.57e-01,3.30e-18,5.11e-19,1.54e-18,9.56e-01,1.34e+00,1.31e-02,4.92e-04,1.31e-02,-5.17e-11,3.63e-03,4.90e-04,3.62e-03,-5.17e-11
1.20e+00,4.43e-18,1.05e-17,-3.12e-18,9.23e-01,3.03e-18,6.53e-19,7.21e-18,9.22e-01,2.44e+00,2.68e-02,1.42e-03,2.67e-02,-6.04e-10,7.01e-03,1.40e-03,6.97e-03,-5.49e-10
1.30e+00,6.81e-18,1.61e-17,2.35e-17,8.95e-01,4.28e-18,2.24e-18,8.26e-18,8.93e-01,3.38e+00,4.10e-02,2.44e-03,4.06e-02,-1.87e-09,1.06e-02,2.40e-03,1.06e-02,-1.78e-09
1.40e+00,1.70e-18,2.23e-17,3.40e-17,8.73e-01,4.85e-18,-1.67e-17,4.80e-18,8.69e-01,4.23e+00,5.56e-02,3.41e-03,5.48e-02,-3.38e-09,1.50e-02,3.33e-03,1.49e-02,-3.03e-09
1.50e+00,-6.36e-18,3.15e-17,3.50e-17,8.55e-01,8.20e-18,-2.50e-17,6.96e-18,8.50e-01,5.00e+00,7.07e-02,4.26e-03,6.93e-02,-5.17e-09,2.04e-02,4.12e-03,2.02e-02,-4.00e-09
1.60e+00,-1.29e-17,3.72e-17,3.72e-17,8.42e-01,1.26e-17,-2.93e-17,4.95e-18,8.35e-01,5.73e+00,8.61e-02,4.96e-03,8.40e-02,-8.20e-09,2.70e-02,4.73e-03,2.67e-02,-5.61e-09
1.70e+00,-9.09e-18,3.02e-17,4.13e-17,8.32e-01,1.14e-17,-3.17e-17,7.07e-18,8.23e-01,6.43e+00,1.01e-01,5.48e-03,9.88e-02,-1.35e-08,3.50e-02,5.14e-03,3.46e-02,-9.27e-09
1.80e+00,5.68e-18,3.50e-17,4.20e-17,8.26e-01,1.09e-17,-2.86e-17,4.13e-18,8.13e-01,7.10e+00,1.17e-01,5.80e-03,1.13e-01,-2.48e-08,4.45e-02,5.31e-03,4.39e-02,-1.92e-08
1.90e+00,-2.27e-18,4.66e-17,1.15e-17,8.23e-01,5.68e-18,-1.68e-17,1.18e-17,8.07e-01,7.75e+00,1.33e-01,5.88e-03,1.28e-01,-6.01e-08,5.56e-02,5.22e-03,5.48e-02,-5.70e-08
2.00e+00,-4.52e-17,5.75e-17,-5.45e-18,8.25e-01,-2.84e-19,4.00e-17,6.42e-18,8.04e-01,8.38e+00,1.49e-01,5.71e-03,1.42e-01,-2.70e-07,6.83e-02,4.85e-03,6.73e-02,-3.00e-07
