F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-1.08e-19,-3.23e-20,4.54e-19,9.88e-01,5.23e-20,0.00e+00,7.10e-21,9.88e-01,4.13e-01,1.12e-03,1.93e-03,1.08e-03,9.65e-11,-2.43e-03,1.86e-03,-2.43e-03,1.03e-10
1.04e+00,-3.19e-20,-4.82e-21,4.26e-19,9.77e-01,3.81e-20,2.27e-19,6.01e-20,9.77e-01,8.08e-01,2.42e-03,4.08e-03,2.25e-03,-4.37e-11,-4.82e-03,3.80e-03,-4.82e-03,-3.01e-11
1.07e+00,-1.77e-19,9.69e-20,-1.13e-19,9.66e-01,-1.84e-20,1.13e-19,7.30e-20,9.67e-01,1.18e+00,3.89e-03,6.44e-03,3.50e-03,-1.70e-10,-7.19e-03,5.80e-03,-7.19e-03,-1.57e-10
1.09e+00,1.56e-19,3.77e-20,-3.40e-19,9.56e-01,2.02e-20,1.13e-19,5.99e-20,9.56e-01,1.54e+00,5.55e-03,9.01e-03,4.82e-03,-4.21e-10,-9.52e-03,7.84e-03,-9.52e-03,-4.07e-10
1.12e+00,5.39e-19,9.06e-20,0.00e+00,9.46e-01,5.09e-20,1.13e-19,4.21e-20,9.46e-01,1.89e+00,7.38e-03,1.17e-02,6.21e-03,-8.64e-11,-1.18e-02,9.91e-03,-1.18e-02,-8.11e-11
1.14e+00,-1.77e-19,1.31e-19,4.54e-19,9.36e-01,5.37e-20,6.81e-19,9.05e-20,9.37e-01,2.22e+00,9.39e-03,1.47e-02,7.65e-03,1.40e-11,-1.40e-02,1.20e-02,-1.40e-02,3.27e-11
1.17e+00,-2.13e-19,8.69e-20,1.13e-19,9.27e-01,8.60e-20,1.36e-18,1.20e-19,9.28e-01,2.54e+00,1.15e-02,1.78e-02,9.14e-03,8.97e-11,-1.63e-02,1.41e-02,-1.63e-02,8.56e-11
1.19e+00,-6.25e-19,1.00e-19,4.54e-19,9.18e-01,5.84e-20,1.81e-18,6.39e-20,9.19e-01,2.86e+00,1.39e-02,2.11e-02,1.06e-02,2.80e-10,-1.84e-02,1.62e-02,-1.85e-02,2.82e-10
1.22e+00,-2.98e-19,8.16e-20,4.54e-19,9.09e-01,6.84e-20,1.81e-18,1.00e-19,9.10e-01,3.16e+00,1.65e-02,2.46e-02,1.22e-02,-3.79e-11,-2.06e-02,1.83e-02,-2.06e-02,-4.60e-11
1.24e+00,-2.69e-19,2.87e-19,2.27e-19,9.01e-01,1.55e-21,1.59e-18,1.74e-19,9.02e-01,3.45e+00,1.92e-02,2.82e-02,1.38e-02,-3.14e-10,-2.27e-02,2.03e-02,-2.27e-02,-2.86e-10
1.27e+00,-2.41e-19,3.79e-19,9.09e-19,8.93e-01,-3.87e-20,1.36e-18,2.71e-19,8.94e-01,3.73e+00,2.21e-02,3.19e-02,1.55e-02,-3.85e-10,-2.47e-02,2.24e-02,-2.48e-02,-3.17e-10
1.29e+00,-7.53e-19,2.73e-19,2.27e-19,8.85e-01,-4.83e-20,2.27e-18,3.96e-19,8.86e-01,4.00e+00,2.51e-02,3.58e-02,1.71e-02,-3.16e-11,-2.67e-02,2.44e-02,-2.68e-02,-2.13e-11
1.32e+00,-7.38e-19,2.38e-19,2.27e-19,8.77e-01,-7.25e-20,2.04e-18,3.10e-19,8.78e-01,4.27e+00,2.84e-02,3.97e-02,1.88e-02,-4.74e-10,-2.87e-02,2.63e-02,-2.87e-02,-4.17e-10
1.34e+00,1.70e-19,1.59e-19,-2.27e-19,8.70e-01,-3.80e-19,0.00e+00,4.35e-19,8.71e-01,4.53e+00,3.17e-02,4.38e-02,2.04e-02,3.77e-11,-3.06e-02,2.83e-02,-3.06e-02,-2.08e-10
1.37e+00,-3.69e-19,-7.50e-19,3.18e-18,8.62e-01,-1.19e-19,-2.72e-18,5.47e-19,8.64e-01,4.78e+00,3.52e-02,4.80e-02,2.21e-02,-9.36e-09,-3.24e-02,3.02e-02,-3.24e-02,-9.29e-09
1.39e+00,-7.67e-19,-1.02e-18,2.95e-18,8.55e-01,2.41e-19,-1.81e-18,1.21e-18,8.57e-01,5.03e+00,3.87e-02,5.22e-02,2.37e-02,-1.24e-10,-3.40e-02,3.20e-02,-3.41e-02,-1.39e-10
1.42e+00,-1.42e-19,-1.38e-18,3.40e-18,8.48e-01,1.50e-19,-3.18e-18,1.73e-18,8.50e-01,5.27e+00,4.25e-02,5.65e-02,2.53e-02,-1.94e-10,-3.56e-02,3.37e-02,-3.57e-02,-5.60e-11
1.44e+00,1.42e-19,-1.51e-18,2.72e-18,8.42e-01,-7.79e-20,-4.09e-18,2.34e-18,8.43e-01,5.50e+00,4.64e-02,6.08e-02,2.69e-02,-3.00e-09,-3.70e-02,3.54e-02,-3.71e-02,-3.81e-09
1.47e+00,3.40e-19,-1.54e-18,1.81e-18,8.35e-01,-2.71e-19,-3.86e-18,3.25e-18,8.37e-01,5.73e+00,5.04e-02,6.51e-02,2.85e-02,-1.26e-12,-3.83e-02,3.69e-02,-3.84e-02,-3.91e-12
1.49e+00,5.39e-19,-1.08e-18,2.27e-18,8.29e-01,-3.05e-19,-2.95e-18,3.18e-18,8.31e-01,5.95e+00,5.45e-02,6.94e-02,3.01e-02,5.23e-10,-3.94e-02,3.84e-02,-3.95e-02,4.32e-10
