F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.70e-18,-1.07e-17,-1.17e-17,9.57e-01,2.77e-18,-8.46e-18,-4.65e-18,9.55e-01,1.23e+00,-4.09e-03,2.88e-03,-4.08e-03,-1.31e-08,-9.62e-04,2.88e-03,-9.63e-04,-1.30e-08
1.20e+00,1.84e-17,-1.04e-17,2.84e-18,9.23e-01,1.09e-17,-1.88e-17,-4.75e-18,9.19e-01,2.25e+00,-9.17e-03,5.56e-03,-9.13e-03,-7.33e-08,-1.04e-03,5.54e-03,-1.04e-03,-7.21e-08
1.30e+00,5.43e-17,-1.93e-17,-9.43e-18,8.94e-01,1.30e-17,-4.50e-17,-5.16e-18,8.89e-01,3.12e+00,-1.50e-02,8.07e-03,-1.49e-02,-1.25e-07,-2.58e-04,8.00e-03,-2.72e-04,-1.31e-07
1.40e+00,6.71e-17,-2.52e-17,-9.43e-18,8.70e-01,1.33e-17,-4.64e-17,-1.02e-17,8.64e-01,3.90e+00,-2.15e-02,1.04e-02,-2.13e-02,-1.89e-07,1.45e-03,1.03e-02,1.42e-03,-2.08e-07
1.50e+00,6.77e-17,-2.93e-17,-9.77e-18,8.51e-01,7.00e-18,-4.67e-17,-1.09e-17,8.43e-01,4.62e+00,-2.87e-02,1.27e-02,-2.83e-02,-3.17e-07,4.20e-03,1.25e-02,4.15e-03,-3.61e-07
1.60e+00,7.02e-17,-3.80e-17,-5.22e-18,8.35e-01,1.20e-17,-3.70e-17,-1.56e-17,8.26e-01,5.29e+00,-3.66e-02,1.50e-02,-3.59e-02,-1.82e-11,8.17e-03,1.46e-02,8.07e-03,-3.50e-11
1.70e+00,6.63e-17,-3.18e-17,3.18e-18,8.23e-01,9.90e-18,-4.04e-17,-1.76e-17,8.13e-01,5.92e+00,-4.52e-02,1.73e-02,-4.43e-02,-5.36e-11,1.35e-02,1.68e-02,1.33e-02,-8.17e-11
1.80e+00,7.59e-17,-2.27e-17,1.81e-18,8.13e-01,1.38e-17,-6.61e-17,-1.49e-17,8.02e-01,6.52e+00,-5.48e-02,1.97e-02,-5.35e-02,-2.23e-10,2.04e-02,1.90e-02,2.02e-02,-2.22e-10
