F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-2.42e-19,-5.98e-20,-2.52e-19,9.88e-01,-1.27e-20,8.52e-20,6.61e-20,9.88e-01,3.43e-01,-1.27e-03,5.55e-04,-1.22e-03,7.26e-12,7.65e-04,5.35e-04,7.65e-04,2.64e-12
1.04e+00,-1.98e-19,-1.01e-19,-2.84e-19,9.77e-01,-4.79e-20,-3.97e-19,2.84e-20,9.77e-01,6.71e-01,-2.56e-03,1.15e-03,-2.38e-03,3.02e-10,1.49e-03,1.07e-03,1.49e-03,2.91e-10
1.07e+00,-1.17e-19,-1.36e-19,-5.11e-19,9.66e-01,-3.77e-20,-4.54e-19,6.66e-20,9.66e-01,9.85e-01,-3.87e-03,1.80e-03,-3.48e-03,-5.77e-12,2.19e-03,1.62e-03,2.19e-03,1.62e-11
1.09e+00,1.10e-19,-8.34e-20,-4.12e-19,9.56e-01,-7.28e-20,-3.40e-19,1.19e-19,9.55e-01,1.28e+00,-5.19e-03,2.51e-03,-4.51e-03,-2.15e-10,2.86e-03,2.18e-03,2.85e-03,-1.88e-10
1.12e+00,8.52e-20,-6.92e-20,-1.98e-19,9.46e-01,-5.58e-20,-4.54e-19,1.13e-19,9.45e-01,1.57e+00,-6.50e-03,3.28e-03,-5.47e-03,-3.44e-10,3.50e-03,2.76e-03,3.50e-03,-3.59e-10
1.14e+00,-7.45e-20,-1.50e-20,-1.70e-19,9.36e-01,-1.12e-19,-4.54e-19,1.42e-19,9.36e-01,1.85e+00,-7.82e-03,4.11e-03,-6.37e-03,-2.38e-10,4.12e-03,3.34e-03,4.11e-03,-2.54e-10
1.17e+00,-1.38e-19,-7.03e-20,-1.70e-19,9.27e-01,-1.67e-19,-3.40e-19,8.16e-20,9.26e-01,2.12e+00,-9.13e-03,5.00e-03,-7.20e-03,-3.05e-12,4.72e-03,3.94e-03,4.71e-03,-3.65e-13
1.19e+00,1.84e-19,-4.61e-20,2.27e-19,9.18e-01,-1.65e-19,-2.27e-19,4.08e-20,9.17e-01,2.37e+00,-1.04e-02,5.96e-03,-7.98e-03,-5.47e-12,5.30e-03,4.56e-03,5.29e-03,-2.85e-12
1.22e+00,1.98e-19,-9.14e-20,-2.27e-19,9.09e-01,-1.86e-19,-1.13e-19,3.37e-20,9.08e-01,2.63e+00,-1.17e-02,6.99e-03,-8.69e-03,3.10e-11,5.86e-03,5.18e-03,5.85e-03,4.55e-11
1.24e+00,-3.30e-19,-2.16e-19,-4.54e-19,9.01e-01,-1.43e-19,1.13e-19,9.59e-20,9.00e-01,2.87e+00,-1.29e-02,8.09e-03,-9.35e-03,1.48e-10,6.41e-03,5.82e-03,6.40e-03,1.62e-10
1.27e+00,-6.64e-19,-1.36e-19,-5.11e-19,8.93e-01,-1.11e-19,3.40e-19,8.52e-20,8.91e-01,3.10e+00,-1.42e-02,9.26e-03,-9.95e-03,-4.38e-11,6.94e-03,6.47e-03,6.93e-03,-4.39e-11
1.29e+00,-4.97e-20,-1.27e-19,-3.97e-19,8.85e-01,-1.04e-19,2.27e-19,1.06e-19,8.83e-01,3.33e+00,-1.54e-02,1.05e-02,-1.05e-02,-1.59e-10,7.46e-03,7.13e-03,7.45e-03,-1.63e-10
1.32e+00,-1.05e-18,-2.69e-19,-6.81e-19,8.77e-01,-1.05e-19,7.95e-19,1.34e-19,8.75e-01,3.55e+00,-1.66e-02,1.18e-02,-1.10e-02,3.96e-11,7.97e-03,7.80e-03,7.96e-03,3.81e-11
1.34e+00,-4.68e-19,-1.66e-19,-2.27e-19,8.70e-01,-2.64e-20,9.09e-19,1.27e-19,8.68e-01,3.77e+00,-1.77e-02,1.31e-02,-1.14e-02,9.92e-12,8.47e-03,8.48e-03,8.45e-03,1.42e-11
1.37e+00,-9.02e-19,-1.94e-19,3.40e-19,8.62e-01,-4.26e-20,1.36e-18,1.77e-19,8.60e-01,3.98e+00,-1.89e-02,1.46e-02,-1.18e-02,3.44e-11,8.96e-03,9.16e-03,8.94e-03,3.49e-11
1.39e+00,-4.83e-19,-3.65e-19,7.95e-19,8.55e-01,-1.46e-20,9.09e-19,3.05e-19,8.53e-01,4.19e+00,-2.00e-02,1.61e-02,-1.22e-02,4.37e-11,9.45e-03,9.84e-03,9.42e-03,2.12e-11
1.42e+00,-9.23e-20,-3.07e-19,6.81e-19,8.48e-01,2.59e-20,9.09e-19,8.16e-20,8.46e-01,4.39e+00,-2.11e-02,1.77e-02,-1.25e-02,6.40e-11,9.93e-03,1.05e-02,9.90e-03,6.21e-11
1.44e+00,-8.31e-19,-4.79e-19,7.95e-19,8.42e-01,5.63e-20,6.81e-19,1.06e-20,8.39e-01,4.59e+00,-2.21e-02,1.93e-02,-1.28e-02,-6.71e-09,1.04e-02,1.12e-02,1.03e-02,-7.95e-09
1.47e+00,-1.54e-18,-3.23e-19,4.54e-19,8.35e-01,-5.59e-20,6.81e-19,3.55e-20,8.33e-01,4.78e+00,-2.32e-02,2.11e-02,-1.31e-02,-3.17e-09,1.08e-02,1.19e-02,1.08e-02,-3.48e-09
1.49e+00,-1.26e-18,-1.39e-19,7.95e-19,8.29e-01,-1.24e-19,9.09e-19,-1.63e-19,8.26e-01,4.97e+00,-2.42e-02,2.29e-02,-1.33e-02,-1.31e-10,1.13e-02,1.26e-02,1.13e-02,-1.45e-10
1.52e+00,-2.03e-18,-6.28e-19,3.40e-19,8.23e-01,-2.19e-19,1.59e-18,-2.09e-19,8.20e-01,5.15e+00,-2.51e-02,2.47e-02,-1.36e-02,-3.87e-10,1.18e-02,1.33e-02,1.17e-02,-4.56e-10
1.54e+00,-4.40e-18,-2.71e-18,-1.13e-19,8.17e-01,-2.92e-18,2.72e-18,1.20e-18,8.14e-01,5.33e+00,-2.61e-02,2.67e-02,-1.37e-02,-3.54e-11,1.22e-02,1.40e-02,1.22e-02,-4.11e-11
1.57e+00,-5.22e-18,-2.59e-18,-4.09e-18,8.11e-01,1.21e-18,4.77e-18,1.74e-18,8.08e-01,5.51e+00,-2.71e-02,2.87e-02,-1.39e-02,-6.79e-10,1.26e-02,1.47e-02,1.26e-02,-6.56e-10
1.59e+00,-4.70e-18,-3.01e-18,-4.09e-18,8.05e-01,1.25e-18,4.77e-18,1.55e-18,8.02e-01,5.69e+00,-2.81e-02,3.07e-02,-1.41e-02,-1.32e-09,1.30e-02,1.54e-02,1.30e-02,-6.03e-10
1.62e+00,-5.34e-18,-2.16e-18,-6.81e-18,8.00e-01,1.13e-18,4.54e-18,2.24e-18,7.96e-01,5.86e+00,-2.92e-02,3.28e-02,-1.43e-02,-3.40e-10,1.35e-02,1.61e-02,1.34e-02,-2.73e-10
1.64e+00,-4.97e-18,-2.30e-18,-4.77e-18,7.95e-01,1.10e-18,4.09e-18,2.30e-18,7.91e-01,6.03e+00,-3.02e-02,3.50e-02,-1.45e-02,-5.21e-09,1.39e-02,1.68e-02,1.38e-02,-5.52e-09
1.67e+00,-5.29e-18,-1.63e-18,-5.91e-18,7.89e-01,1.10e-18,4.54e-18,2.27e-18,7.85e-01,6.19e+00,-3.12e-02,3.72e-02,-1.47e-02,-8.49e-11,1.43e-02,1.74e-02,1.43e-02,-1.32e-10
