F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.77e-18,-1.05e-18,9.24e-18,9.55e-01,-2.30e-18,-3.41e-18,-1.84e-18,9.56e-01,1.12e+00,4.55e-03,8.88e-04,4.54e-03,-4.33e-11,-7.41e-03,8.84e-04,-7.41e-03,-2.70e-11
1.20e+00,1.75e-17,-1.06e-17,-3.97e-19,9.18e-01,-2.38e-18,8.09e-18,-4.15e-18,9.20e-01,2.05e+00,9.44e-03,2.17e-03,9.38e-03,-3.81e-10,-1.38e-02,2.15e-03,-1.38e-02,-2.12e-10
1.30e+00,2.29e-17,-2.15e-18,-5.11e-19,8.87e-01,2.41e-19,1.13e-17,-5.91e-18,8.89e-01,2.86e+00,1.45e-02,3.84e-03,1.44e-02,-5.57e-10,-1.97e-02,3.79e-03,-1.97e-02,-4.07e-10
1.40e+00,1.71e-17,5.22e-18,-5.11e-19,8.60e-01,5.61e-19,-2.64e-18,-8.15e-18,8.63e-01,3.57e+00,2.00e-02,5.89e-03,1.96e-02,-7.02e-10,-2.55e-02,5.76e-03,-2.56e-02,-5.55e-10
1.50e+00,1.84e-17,2.53e-17,1.18e-17,8.38e-01,5.98e-19,-5.96e-19,-1.24e-17,8.40e-01,4.23e+00,2.57e-02,8.28e-03,2.50e-02,-1.05e-09,-3.15e-02,8.05e-03,-3.16e-02,-7.96e-10
1.60e+00,1.01e-17,3.18e-17,2.38e-18,8.18e-01,-2.69e-19,-4.71e-18,-1.35e-17,8.21e-01,4.83e+00,3.16e-02,1.10e-02,3.06e-02,-1.55e-09,-3.78e-02,1.06e-02,-3.80e-02,-1.25e-09
1.70e+00,1.82e-17,2.27e-17,1.93e-18,8.02e-01,6.74e-19,-2.27e-17,-1.32e-17,8.05e-01,5.40e+00,3.79e-02,1.40e-02,3.64e-02,-2.35e-09,-4.48e-02,1.34e-02,-4.50e-02,-2.12e-09
1.79e+00,1.84e-17,1.64e-17,1.81e-18,7.88e-01,8.45e-19,-1.87e-17,-1.53e-17,7.91e-01,5.95e+00,4.44e-02,1.73e-02,4.23e-02,-3.85e-09,-5.25e-02,1.64e-02,-5.28e-02,-3.79e-09
1.89e+00,2.62e-17,6.93e-18,-1.93e-18,7.77e-01,-2.93e-18,-3.45e-17,-2.02e-17,7.80e-01,6.47e+00,5.13e-02,2.09e-02,4.83e-02,-7.03e-09,-6.11e-02,1.97e-02,-6.16e-02,-7.16e-09
1.99e+00,4.76e-17,-2.11e-17,2.27e-19,7.68e-01,4.23e-18,-1.68e-17,-2.10e-17,7.71e-01,6.97e+00,5.83e-02,2.46e-02,5.45e-02,-1.47e-08,-7.09e-02,2.31e-02,-7.15e-02,-1.47e-08
