F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,3.55e-20,-4.29e-20,8.52e-20,9.88e-01,1.53e-20,2.98e-19,5.23e-20,9.88e-01,3.63e-01,2.71e-04,1.84e-03,2.61e-04,1.71e-11,-9.09e-05,1.78e-03,-9.08e-05,8.36e-11
1.04e+00,1.45e-19,-5.51e-20,-1.42e-20,9.78e-01,1.71e-20,2.84e-20,3.55e-20,9.76e-01,7.09e-01,5.90e-04,3.87e-03,5.49e-04,3.53e-10,-2.61e-04,3.60e-03,-2.60e-04,4.29e-10
1.07e+00,3.26e-19,-2.04e-20,-5.68e-20,9.67e-01,2.98e-20,0.00e+00,-4.61e-20,9.65e-01,1.04e+00,9.53e-04,6.08e-03,8.57e-04,5.93e-12,-4.98e-04,5.46e-03,-4.97e-04,1.72e-11
1.09e+00,6.39e-19,2.75e-20,-8.52e-20,9.57e-01,6.51e-20,3.40e-19,-4.97e-20,9.54e-01,1.35e+00,1.35e-03,8.44e-03,1.18e-03,-1.83e-10,-7.93e-04,7.32e-03,-7.91e-04,-1.97e-10
1.12e+00,4.26e-19,1.55e-20,-5.68e-20,9.47e-01,2.70e-20,3.40e-19,7.10e-21,9.44e-01,1.66e+00,1.79e-03,1.09e-02,1.51e-03,-3.45e-11,-1.13e-03,9.19e-03,-1.13e-03,-3.89e-11
1.14e+00,7.10e-19,8.88e-21,7.95e-19,9.38e-01,6.57e-20,1.13e-19,-4.61e-20,9.34e-01,1.95e+00,2.27e-03,1.35e-02,1.85e-03,-7.84e-11,-1.51e-03,1.10e-02,-1.50e-03,-1.21e-10
1.17e+00,5.25e-19,-1.07e-19,9.09e-19,9.29e-01,1.16e-19,1.13e-19,-2.13e-20,9.25e-01,2.23e+00,2.78e-03,1.63e-02,2.20e-03,6.99e-11,-1.92e-03,1.28e-02,-1.91e-03,9.23e-11
1.19e+00,6.67e-19,-1.97e-19,1.36e-18,9.20e-01,1.07e-19,1.13e-19,-1.27e-19,9.15e-01,2.50e+00,3.32e-03,1.92e-02,2.55e-03,-7.19e-12,-2.35e-03,1.46e-02,-2.34e-03,5.58e-12
1.22e+00,6.10e-19,-1.43e-19,1.47e-18,9.12e-01,8.50e-20,4.54e-19,-2.27e-19,9.06e-01,2.76e+00,3.88e-03,2.22e-02,2.89e-03,-1.57e-10,-2.79e-03,1.64e-02,-2.78e-03,-1.26e-10
1.24e+00,7.38e-19,3.55e-21,1.13e-18,9.04e-01,1.02e-19,2.27e-19,-2.62e-19,8.97e-01,3.02e+00,4.46e-03,2.53e-02,3.23e-03,-2.56e-10,-3.25e-03,1.81e-02,-3.23e-03,-2.63e-10
1.27e+00,5.11e-19,1.58e-19,1.70e-18,8.96e-01,9.10e-20,5.68e-19,-9.23e-20,8.89e-01,3.26e+00,5.06e-03,2.84e-02,3.56e-03,-1.87e-10,-3.71e-03,1.98e-02,-3.68e-03,-2.23e-10
1.29e+00,1.13e-18,2.71e-19,1.36e-18,8.88e-01,1.45e-19,-1.13e-19,-1.13e-19,8.81e-01,3.50e+00,5.68e-03,3.17e-02,3.88e-03,4.86e-11,-4.16e-03,2.14e-02,-4.13e-03,3.13e-11
1.32e+00,5.11e-19,2.14e-19,1.93e-18,8.81e-01,6.39e-20,0.00e+00,-1.77e-19,8.72e-01,3.73e+00,6.31e-03,3.50e-02,4.19e-03,7.13e-12,-4.61e-03,2.30e-02,-4.57e-03,1.05e-12
1.34e+00,-7.10e-19,6.34e-19,1.13e-18,8.73e-01,4.76e-19,4.54e-19,2.55e-19,8.65e-01,3.96e+00,6.94e-03,3.83e-02,4.49e-03,-7.78e-09,-5.05e-03,2.45e-02,-5.00e-03,-7.59e-09
1.37e+00,-8.24e-19,3.97e-19,2.27e-19,8.66e-01,3.79e-19,6.81e-19,3.69e-19,8.57e-01,4.18e+00,7.59e-03,4.17e-02,4.78e-03,-1.40e-10,-5.48e-03,2.60e-02,-5.43e-03,-9.25e-11
