F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.95e-19,-1.87e-17,-1.48e-17,9.56e-01,1.48e-18,1.29e-17,3.37e-19,9.59e-01,1.40e+00,-2.72e-03,-2.17e-04,-2.70e-03,-4.59e-08,1.48e-02,-2.20e-04,1.48e-02,-1.22e-07
1.20e+00,-3.92e-18,-2.76e-17,-2.87e-17,9.20e-01,-5.57e-19,1.87e-17,3.64e-18,9.26e-01,2.54e+00,-5.48e-03,2.45e-04,-5.42e-03,-9.52e-10,2.65e-02,2.26e-04,2.65e-02,-5.14e-09
1.30e+00,6.25e-18,-2.79e-17,-1.56e-17,8.92e-01,1.04e-17,1.92e-17,-3.44e-18,9.00e-01,3.53e+00,-8.32e-03,1.06e-03,-8.19e-03,-1.06e-10,3.60e-02,1.00e-03,3.60e-02,-3.68e-10
1.40e+00,1.56e-17,-2.01e-17,-2.40e-17,8.69e-01,5.21e-18,2.40e-17,3.80e-18,8.80e-01,4.42e+00,-1.13e-02,2.13e-03,-1.10e-02,-6.95e-11,4.37e-02,2.00e-03,4.37e-02,-7.23e-11
1.50e+00,1.50e-17,-3.48e-17,-4.29e-17,8.51e-01,8.04e-18,2.09e-17,4.98e-18,8.64e-01,5.24e+00,-1.44e-02,3.43e-03,-1.41e-02,-9.59e-11,5.00e-02,3.18e-03,4.99e-02,-1.11e-10
1.60e+00,2.70e-17,-2.93e-17,-4.66e-17,8.37e-01,-1.23e-18,1.72e-17,1.25e-17,8.53e-01,6.02e+00,-1.77e-02,4.93e-03,-1.72e-02,-4.38e-10,5.48e-02,4.52e-03,5.48e-02,-4.15e-10
1.70e+00,3.27e-17,-2.52e-17,-5.02e-17,8.28e-01,3.69e-19,4.22e-17,1.42e-17,8.46e-01,6.76e+00,-2.12e-02,6.62e-03,-2.04e-02,-2.19e-09,5.83e-02,5.99e-03,5.83e-02,-1.92e-09
