F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-5.62e-18,-2.07e-18,-7.27e-18,9.58e-01,-4.91e-19,3.23e-18,6.99e-19,9.58e-01,1.58e+00,-2.85e-03,-8.22e-03,-2.84e-03,-1.43e-08,5.16e-04,-8.20e-03,5.21e-04,-1.45e-08
1.20e+00,-1.36e-17,2.46e-17,1.10e-17,9.26e-01,-1.86e-18,2.72e-18,1.03e-19,9.25e-01,2.86e+00,-7.05e-03,-1.76e-02,-6.99e-03,-1.55e-07,1.71e-03,-1.75e-02,1.73e-03,-1.03e-07
1.30e+00,2.27e-19,2.02e-17,-9.54e-18,9.00e-01,3.16e-18,1.15e-17,2.50e-18,9.00e-01,3.95e+00,-1.21e-02,-2.81e-02,-1.19e-02,-2.06e-08,3.26e-03,-2.78e-02,3.29e-03,-1.79e-08
1.40e+00,1.25e-17,2.34e-17,-8.86e-18,8.81e-01,5.39e-19,1.26e-17,6.74e-19,8.81e-01,4.94e+00,-1.81e-02,-3.96e-02,-1.77e-02,-5.65e-09,4.97e-03,-3.90e-02,5.02e-03,-6.19e-09
1.50e+00,2.97e-17,3.06e-17,-3.22e-17,8.67e-01,-5.49e-18,3.94e-17,-2.98e-18,8.67e-01,5.86e+00,-2.49e-02,-5.19e-02,-2.43e-02,-5.48e-09,6.71e-03,-5.08e-02,6.78e-03,-5.92e-09
1.60e+00,-9.09e-18,8.52e-18,-5.00e-17,8.57e-01,1.36e-18,3.95e-17,-1.81e-18,8.58e-01,6.73e+00,-3.27e-02,-6.51e-02,-3.17e-02,-8.95e-09,8.20e-03,-6.33e-02,8.29e-03,-1.03e-08
1.70e+00,1.90e-17,-2.04e-18,-1.00e-16,8.52e-01,5.64e-18,3.88e-17,-5.68e-20,8.53e-01,7.57e+00,-4.13e-02,-7.89e-02,-3.97e-02,-1.91e-08,9.07e-03,-7.63e-02,9.19e-03,-2.42e-08
1.79e+00,1.13e-17,-2.00e-17,-1.68e-16,8.52e-01,-1.86e-18,4.88e-17,-1.59e-17,8.52e-01,8.37e+00,-5.05e-02,-9.34e-02,-4.83e-02,-5.98e-08,8.82e-03,-8.96e-02,9.02e-03,-7.67e-08
1.89e+00,-7.72e-18,-3.79e-17,-2.27e-16,8.57e-01,8.36e-17,6.22e-17,3.55e-17,8.56e-01,9.15e+00,-6.00e-02,-1.08e-01,-5.70e-02,-6.94e-10,6.99e-03,-1.02e-01,7.33e-03,-1.13e-09
