F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.78e-18,2.78e-18,-2.15e-18,9.57e-01,8.32e-19,-5.56e-18,2.90e-18,9.58e-01,1.52e+00,-7.12e-04,4.84e-03,-7.20e-04,-2.07e-07,1.01e-02,4.83e-03,1.00e-02,-8.48e-08
1.20e+00,1.46e-17,4.88e-18,-2.13e-17,9.24e-01,1.36e-18,-2.43e-17,-2.84e-18,9.25e-01,2.74e+00,-2.39e-04,9.87e-03,-2.68e-04,-6.61e-09,1.78e-02,9.81e-03,1.77e-02,-1.41e-09
1.30e+00,1.38e-17,-6.13e-18,-1.86e-17,8.99e-01,4.13e-18,-3.43e-17,-8.63e-19,9.00e-01,3.79e+00,6.78e-04,1.52e-02,6.17e-04,-6.51e-10,2.40e-02,1.50e-02,2.37e-02,-1.86e-10
1.40e+00,1.34e-17,-2.63e-17,-4.00e-17,8.79e-01,2.28e-18,-2.40e-17,2.42e-18,8.80e-01,4.74e+00,1.63e-03,2.09e-02,1.53e-03,-1.15e-10,2.93e-02,2.06e-02,2.88e-02,-8.83e-11
1.50e+00,1.04e-17,-5.00e-17,-6.50e-17,8.65e-01,-4.38e-18,-3.00e-17,9.69e-19,8.65e-01,5.62e+00,2.40e-03,2.70e-02,2.26e-03,-2.08e-10,3.42e-02,2.65e-02,3.35e-02,-1.07e-10
1.60e+00,2.13e-17,-3.36e-17,-6.50e-17,8.56e-01,-1.06e-17,-3.22e-17,5.33e-18,8.54e-01,6.45e+00,2.84e-03,3.34e-02,2.65e-03,-6.30e-10,3.89e-02,3.27e-02,3.79e-02,-2.01e-10
1.70e+00,-4.54e-19,-2.36e-17,-7.32e-17,8.51e-01,-6.13e-18,-3.81e-17,1.74e-18,8.47e-01,7.25e+00,2.82e-03,4.03e-02,2.59e-03,-3.00e-09,4.37e-02,3.92e-02,4.23e-02,-1.38e-09
