F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-7.72e-18,1.84e-17,-1.81e-18,9.56e-01,-5.75e-19,-2.61e-18,4.27e-18,9.56e-01,1.22e+00,6.15e-03,2.18e-03,6.14e-03,-7.10e-11,8.15e-03,2.18e-03,8.15e-03,-1.06e-10
1.20e+00,-1.22e-17,8.41e-18,1.50e-17,9.20e-01,2.85e-19,-7.27e-18,2.65e-18,9.21e-01,2.23e+00,1.23e-02,4.69e-03,1.22e-02,-4.74e-10,1.51e-02,4.65e-03,1.51e-02,-5.48e-10
1.30e+00,-2.72e-18,3.40e-18,2.25e-17,8.91e-01,-5.64e-18,-6.13e-18,4.63e-18,8.91e-01,3.10e+00,1.86e-02,7.53e-03,1.84e-02,-6.91e-10,2.13e-02,7.43e-03,2.14e-02,-5.67e-10
1.40e+00,-1.77e-17,-5.91e-18,2.45e-17,8.66e-01,-6.69e-18,-9.09e-18,1.10e-18,8.66e-01,3.87e+00,2.52e-02,1.06e-02,2.48e-02,-1.17e-09,2.69e-02,1.04e-02,2.69e-02,-8.18e-10
1.50e+00,-4.09e-17,-3.27e-17,5.00e-18,8.45e-01,-5.71e-18,-1.77e-17,-8.35e-18,8.46e-01,4.58e+00,3.20e-02,1.40e-02,3.12e-02,-1.91e-09,3.19e-02,1.36e-02,3.20e-02,-1.23e-09
1.60e+00,-4.00e-17,-2.27e-17,2.90e-17,8.28e-01,-8.79e-18,-3.68e-17,-2.17e-18,8.29e-01,5.24e+00,3.90e-02,1.75e-02,3.78e-02,-2.71e-09,3.65e-02,1.70e-02,3.67e-02,-1.84e-09
1.70e+00,-2.63e-17,-2.50e-17,2.63e-17,8.14e-01,-8.89e-18,-2.90e-17,-6.94e-18,8.15e-01,5.87e+00,4.61e-02,2.12e-02,4.45e-02,-3.83e-09,4.08e-02,2.04e-02,4.10e-02,-2.93e-09
1.79e+00,-2.00e-17,-5.59e-17,2.72e-17,8.02e-01,-1.39e-17,-3.00e-17,-5.93e-18,8.04e-01,6.47e+00,5.33e-02,2.49e-02,5.12e-02,-6.16e-09,4.48e-02,2.37e-02,4.52e-02,-5.18e-09
1.90e+00,-2.36e-17,-8.27e-17,3.00e-17,7.94e-01,-1.57e-17,-2.00e-17,-6.12e-18,7.96e-01,7.04e+00,6.06e-02,2.86e-02,5.78e-02,-1.22e-08,4.88e-02,2.71e-02,4.92e-02,-1.05e-08
2.00e+00,-1.63e-17,-8.91e-17,4.36e-17,7.88e-01,7.55e-18,-1.63e-17,-5.92e-18,7.91e-01,7.60e+00,6.78e-02,3.23e-02,6.43e-02,-3.19e-08,5.29e-02,3.03e-02,5.33e-02,-2.69e-08
