F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.02e-17,-6.24e-18,8.22e-18,9.55e-01,-1.09e-17,5.66e-18,4.85e-18,9.56e-01,1.20e+00,1.53e-04,-2.92e-03,1.33e-04,4.39e-10,3.00e-03,-2.54e-03,3.00e-03,3.13e-10
1.20e+00,2.02e-18,-3.05e-19,1.86e-17,9.15e-01,-7.30e-18,3.07e-17,7.23e-18,9.18e-01,2.22e+00,-2.48e-03,-4.58e-03,-1.89e-03,-1.03e-09,6.00e-03,-3.51e-03,6.02e-03,3.20e-10
1.30e+00,1.03e-17,4.73e-19,2.40e-17,8.81e-01,-5.34e-18,5.36e-17,5.17e-18,8.85e-01,3.12e+00,-7.43e-03,-5.31e-03,-5.03e-03,7.51e-10,8.63e-03,-3.61e-03,8.67e-03,5.62e-10
1.40e+00,2.04e-17,-1.59e-17,3.24e-17,8.50e-01,-2.11e-18,1.24e-16,-1.71e-18,8.56e-01,3.92e+00,-1.46e-02,-5.07e-03,-8.88e-03,8.78e-09,1.08e-02,-3.10e-03,1.09e-02,8.56e-09
1.50e+00,3.92e-17,-1.39e-17,7.91e-17,8.22e-01,-2.45e-17,1.53e-16,-1.88e-17,8.30e-01,4.64e+00,-2.36e-02,-4.50e-03,-1.29e-02,2.31e-09,1.25e-02,-2.49e-03,1.26e-02,1.93e-09
