F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-4.48e-19,-1.16e-18,-6.79e-19,9.58e-01,-1.87e-18,6.56e-19,-2.84e-18,9.57e-01,5.20e-01,8.71e-05,-4.27e-04,8.70e-05,-1.05e-09,1.65e-03,-4.26e-04,1.66e-03,-1.14e-09
1.19e+00,-5.05e-19,5.94e-19,-6.89e-19,9.22e-01,-2.31e-18,6.26e-19,2.82e-18,9.21e-01,9.53e-01,1.11e-04,-8.18e-04,1.11e-04,-1.97e-09,3.15e-03,-8.10e-04,3.15e-03,-2.14e-09
1.29e+00,7.50e-19,1.56e-20,-1.73e-19,8.91e-01,-4.45e-18,1.52e-18,4.94e-18,8.91e-01,1.32e+00,9.32e-05,-1.16e-03,9.29e-05,-3.18e-09,4.56e-03,-1.13e-03,4.56e-03,-3.43e-09
1.40e+00,1.17e-18,1.77e-18,-6.23e-19,8.64e-01,-8.05e-18,2.71e-18,8.28e-18,8.64e-01,1.65e+00,4.22e-05,-1.46e-03,4.44e-05,-4.51e-09,5.96e-03,-1.41e-03,5.96e-03,-4.84e-09
1.49e+00,4.31e-18,8.24e-18,-8.57e-18,8.40e-01,-7.20e-18,5.37e-18,9.83e-18,8.40e-01,1.95e+00,-3.56e-05,-1.73e-03,-2.66e-05,-5.91e-09,7.37e-03,-1.65e-03,7.38e-03,-6.25e-09
1.59e+00,9.38e-18,2.61e-18,-3.55e-18,8.20e-01,-1.57e-17,3.80e-18,8.25e-18,8.19e-01,2.22e+00,-1.38e-04,-1.98e-03,-1.16e-04,-7.49e-09,8.84e-03,-1.87e-03,8.85e-03,-7.77e-09
1.70e+00,7.96e-18,-6.75e-19,2.36e-19,8.02e-01,-1.28e-17,2.98e-18,1.02e-17,8.01e-01,2.48e+00,-2.65e-04,-2.21e-03,-2.23e-04,-9.46e-09,1.03e-02,-2.07e-03,1.03e-02,-9.62e-09
1.79e+00,7.62e-18,-2.94e-18,1.04e-20,7.85e-01,-1.31e-17,7.44e-18,1.78e-17,7.85e-01,2.72e+00,-4.18e-04,-2.45e-03,-3.46e-04,-1.21e-08,1.19e-02,-2.26e-03,1.19e-02,-1.21e-08
1.89e+00,1.13e-17,1.08e-17,1.84e-18,7.71e-01,-5.91e-18,2.18e-17,1.62e-17,7.71e-01,2.95e+00,-5.99e-04,-2.68e-03,-4.86e-04,-1.60e-08,1.36e-02,-2.45e-03,1.36e-02,-1.57e-08
2.00e+00,5.48e-18,-1.15e-17,-2.72e-18,7.58e-01,-5.15e-18,-1.97e-18,1.33e-17,7.58e-01,3.17e+00,-8.10e-04,-2.92e-03,-6.44e-04,-2.20e-08,1.53e-02,-2.65e-03,1.54e-02,-2.14e-08
