F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,3.38e-17,-1.51e-18,8.94e-19,9.57e-01,-1.02e-18,3.55e-17,-3.58e-17,9.54e-01,1.42e+00,5.28e-03,-8.74e-03,4.60e-03,-4.89e-07,-1.50e-02,-7.58e-03,-1.50e-02,-6.25e-08
1.20e+00,-2.80e-17,-5.90e-18,-2.76e-17,9.20e-01,4.00e-19,4.29e-17,-1.88e-17,9.14e-01,2.65e+00,1.15e-02,-1.30e-02,8.83e-03,4.32e-08,-3.10e-02,-9.95e-03,-3.08e-02,-3.70e-08
1.30e+00,-5.36e-17,-3.35e-17,-7.65e-17,8.88e-01,1.43e-17,8.30e-17,3.52e-17,8.79e-01,3.74e+00,1.63e-02,-1.07e-02,1.11e-02,4.60e-10,-4.57e-02,-7.26e-03,-4.52e-02,3.12e-10
1.40e+00,-6.79e-17,-4.68e-17,4.88e-17,8.59e-01,9.44e-17,1.60e-16,5.94e-17,8.48e-01,4.73e+00,1.98e-02,-1.67e-03,1.21e-02,1.20e-10,-5.74e-02,-1.01e-03,-5.67e-02,3.17e-11
1.50e+00,-1.10e-16,-3.34e-17,7.70e-17,8.33e-01,3.82e-17,2.23e-16,-8.04e-19,8.21e-01,5.64e+00,2.05e-02,1.21e-02,1.14e-02,1.14e-09,-6.68e-02,6.66e-03,-6.58e-02,8.73e-10
