F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.27e-18,-9.20e-18,-6.02e-18,9.59e-01,-4.58e-18,7.95e-19,-1.64e-18,9.55e-01,1.41e+00,1.04e-03,-5.15e-03,1.04e-03,-2.21e-10,9.96e-03,-5.13e-03,9.97e-03,-1.71e-10
1.20e+00,6.93e-18,1.70e-18,-8.41e-18,9.27e-01,-4.84e-18,-6.93e-18,3.15e-18,9.20e-01,2.56e+00,2.46e-03,-9.86e-03,2.45e-03,-2.84e-09,1.87e-02,-9.80e-03,1.87e-02,-2.66e-09
1.30e+00,8.75e-18,1.15e-17,-1.01e-17,9.01e-01,-5.51e-18,-4.54e-18,5.61e-18,8.91e-01,3.54e+00,4.02e-03,-1.42e-02,4.00e-03,-3.27e-09,2.71e-02,-1.41e-02,2.71e-02,-3.62e-09
1.40e+00,3.03e-17,1.40e-17,-1.37e-17,8.81e-01,-2.38e-18,3.86e-18,2.11e-18,8.67e-01,4.42e+00,5.63e-03,-1.84e-02,5.59e-03,-3.12e-09,3.58e-02,-1.81e-02,3.58e-02,-3.21e-09
1.50e+00,1.93e-17,1.63e-17,-2.61e-17,8.66e-01,-4.47e-18,3.40e-18,1.12e-18,8.48e-01,5.23e+00,7.33e-03,-2.24e-02,7.25e-03,-4.85e-09,4.53e-02,-2.19e-02,4.53e-02,-4.52e-09
1.60e+00,3.66e-17,9.09e-18,-5.75e-17,8.55e-01,-2.85e-18,1.36e-17,-3.26e-19,8.33e-01,6.00e+00,9.19e-03,-2.64e-02,9.04e-03,-8.21e-09,5.59e-02,-2.56e-02,5.59e-02,-7.37e-09
1.70e+00,5.68e-17,1.81e-17,-9.22e-17,8.48e-01,-3.72e-18,2.68e-17,3.53e-18,8.22e-01,6.73e+00,1.13e-02,-3.06e-02,1.10e-02,-1.52e-08,6.80e-02,-2.94e-02,6.80e-02,-1.34e-08
1.80e+00,8.29e-17,2.27e-18,-8.72e-17,8.45e-01,-1.09e-17,7.72e-18,-1.01e-17,8.14e-01,7.44e+00,1.38e-02,-3.50e-02,1.33e-02,-3.77e-08,8.18e-02,-3.34e-02,8.17e-02,-3.10e-08
1.90e+00,7.11e-17,1.18e-17,-1.05e-16,8.45e-01,-2.52e-18,2.00e-17,-9.46e-18,8.10e-01,8.12e+00,1.68e-02,-4.01e-02,1.61e-02,-1.34e-07,9.73e-02,-3.78e-02,9.70e-02,-9.92e-08
2.00e+00,6.13e-17,7.27e-17,-1.34e-16,8.50e-01,-3.96e-17,-1.09e-17,-1.28e-17,8.09e-01,8.78e+00,2.04e-02,-4.60e-02,1.94e-02,-9.70e-09,1.14e-01,-4.30e-02,1.13e-01,-9.86e-09
