F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.13e-18,-2.64e-18,-1.81e-18,9.56e-01,-4.36e-18,1.36e-18,1.17e-18,9.57e-01,1.19e+00,4.19e-03,-1.19e-03,4.17e-03,-1.56e-11,-7.85e-03,-1.18e-03,-7.84e-03,-1.47e-11
1.20e+00,2.15e-17,-1.44e-17,-1.26e-17,9.19e-01,-5.58e-18,1.23e-17,-2.09e-18,9.21e-01,2.17e+00,8.53e-03,-2.72e-03,8.47e-03,-1.41e-10,-1.47e-02,-2.69e-03,-1.47e-02,-1.08e-10
1.30e+00,2.37e-17,-1.55e-17,-2.38e-17,8.89e-01,-8.68e-18,1.17e-17,-4.27e-18,8.91e-01,3.01e+00,1.31e-02,-4.46e-03,1.29e-02,-5.40e-10,-2.09e-02,-4.39e-03,-2.09e-02,-3.69e-10
1.40e+00,1.50e-17,-2.49e-17,-7.04e-18,8.63e-01,-1.01e-17,1.79e-17,-4.47e-18,8.66e-01,3.77e+00,1.80e-02,-6.32e-03,1.76e-02,-1.23e-09,-2.67e-02,-6.17e-03,-2.67e-02,-7.86e-10
1.50e+00,2.18e-17,-2.23e-17,-2.95e-18,8.41e-01,-8.46e-18,2.25e-17,6.03e-20,8.45e-01,4.46e+00,2.31e-02,-8.26e-03,2.26e-02,-2.07e-09,-3.24e-02,-8.00e-03,-3.23e-02,-1.32e-09
1.60e+00,2.52e-17,-2.50e-17,1.29e-17,8.22e-01,-3.27e-18,2.72e-17,-3.48e-18,8.28e-01,5.10e+00,2.86e-02,-1.03e-02,2.77e-02,-3.09e-09,-3.80e-02,-9.87e-03,-3.80e-02,-2.19e-09
1.70e+00,-5.22e-18,-1.56e-17,2.70e-17,8.07e-01,4.26e-18,2.35e-17,-7.03e-18,8.14e-01,5.71e+00,3.44e-02,-1.24e-02,3.30e-02,-5.26e-09,-4.39e-02,-1.18e-02,-4.39e-02,-4.22e-09
1.79e+00,-2.81e-17,-7.04e-18,-2.27e-18,7.95e-01,7.45e-18,2.04e-17,-5.59e-18,8.02e-01,6.28e+00,4.03e-02,-1.47e-02,3.83e-02,-1.09e-08,-5.01e-02,-1.39e-02,-5.01e-02,-9.74e-09
1.89e+00,-3.68e-17,-1.09e-17,6.36e-18,7.84e-01,1.28e-17,-1.94e-17,-6.52e-18,7.93e-01,6.84e+00,4.64e-02,-1.73e-02,4.37e-02,-2.68e-08,-5.68e-02,-1.61e-02,-5.68e-02,-2.54e-08
2.00e+00,-4.81e-17,7.95e-19,-8.63e-18,7.77e-01,1.83e-17,-2.64e-17,-6.50e-18,7.87e-01,7.38e+00,5.25e-02,-2.02e-02,4.91e-02,-7.24e-08,-6.41e-02,-1.86e-02,-6.42e-02,-7.22e-08
