name,phr,id,phi,partial_run,RF_sim,RF_sim_vs_E0,RF_guth_gold,RF_mori_tanaka,RF_sim/RF_gg,RF_sim/RF_mt
phr_17.36_id3_voxel_output,17.36,3,0.081497,True,1.1819,0.9557,1.2974,1.2094,0.9110,0.9773
phr_22.21_id33_voxel_output,22.21,33,0.101929,True,1.2411,1.0036,1.4013,1.2676,0.8857,0.9791
phr_23.28_id14_voxel_output,23.28,14,0.106336,True,1.2614,1.0200,1.4253,1.2805,0.8850,0.9851
phr_23.92_id18_voxel_output,23.92,18,0.108944,True,1.2685,1.0257,1.4397,1.2882,0.8811,0.9847
phr_24.22_id31_voxel_output,24.22,31,0.110139,True,1.2411,1.0036,1.4464,1.2918,0.8581,0.9608
phr_24.38_id6_voxel_output,24.38,6,0.110791,True,1.2751,1.0299,1.4501,1.2937,0.8794,0.9856
phr_25.90_id1_voxel_output,25.90,1,0.116914,True,1.2614,1.0200,1.4850,1.3120,0.8494,0.9614
phr_26.97_id15_voxel_output,26.97,15,0.121165,True,1.3109,1.0600,1.5099,1.3249,0.8682,0.9894
phr_27.09_id28_voxel_output,27.09,28,0.121633,True,1.3188,1.0664,1.5127,1.3263,0.8718,0.9944
phr_27.19_id11_voxel_output,27.19,11,0.122005,True,1.3056,1.0557,1.5149,1.3274,0.8618,0.9835
phr_27.69_id57_voxel_output,27.69,57,0.123973,True,1.3082,1.0579,1.5266,1.3334,0.8569,0.9811
phr_28.10_id17_voxel_output,28.10,17,0.125600,True,1.3109,1.0600,1.5364,1.3384,0.8532,0.9794
phr_28.12_id4_voxel_output,28.12,4,0.125664,True,1.3286,1.0743,1.5368,1.3386,0.8645,0.9925
phr_28.17_id22_voxel_output,28.17,22,0.125844,True,1.3330,1.0779,1.5379,1.3392,0.8667,0.9954
phr_28.61_id24_voxel_output,28.61,24,0.127576,True,1.3065,1.0564,1.5484,1.3445,0.8437,0.9717
phr_28.87_id8_voxel_output,28.87,8,0.128568,True,1.3286,1.0743,1.5545,1.3475,0.8547,0.9859
phr_29.71_id20_voxel_output,29.71,20,0.131851,True,1.3162,1.0643,1.5748,1.3577,0.8358,0.9694
phr_29.81_id19_voxel_output,29.81,19,0.132199,True,1.3259,1.0721,1.5769,1.3588,0.8408,0.9758
