F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-1.11e-19,-2.51e-20,2.30e-19,9.88e-01,2.34e-20,8.52e-20,3.10e-21,9.88e-01,3.41e-01,5.85e-04,-2.90e-04,5.64e-04,2.99e-11,-2.62e-03,-2.80e-04,-2.62e-03,6.68e-11
1.04e+00,1.06e-20,3.19e-20,6.32e-19,9.77e-01,4.55e-20,2.55e-19,4.08e-20,9.77e-01,6.66e-01,1.17e-03,-4.84e-04,1.09e-03,-5.05e-11,-5.23e-03,-4.50e-04,-5.23e-03,-2.78e-11
1.07e+00,-1.38e-19,3.46e-20,6.60e-19,9.66e-01,4.24e-20,1.70e-19,5.15e-20,9.66e-01,9.77e-01,1.77e-03,-5.76e-04,1.59e-03,1.87e-12,-7.82e-03,-5.18e-04,-7.82e-03,1.83e-11
1.09e+00,-4.97e-20,4.72e-20,3.83e-19,9.56e-01,4.14e-20,-5.68e-20,3.90e-20,9.56e-01,1.27e+00,2.36e-03,-5.64e-04,2.05e-03,-5.51e-11,-1.04e-02,-4.90e-04,-1.04e-02,-5.77e-11
1.12e+00,-3.76e-19,3.01e-20,2.84e-19,9.45e-01,-3.33e-20,1.70e-19,7.10e-20,9.46e-01,1.55e+00,2.94e-03,-4.42e-04,2.48e-03,-2.17e-10,-1.29e-02,-3.72e-04,-1.29e-02,-2.30e-10
1.14e+00,-3.97e-19,4.83e-20,2.84e-19,9.36e-01,-5.59e-20,3.40e-19,1.13e-19,9.36e-01,1.83e+00,3.52e-03,-2.09e-04,2.86e-03,1.81e-10,-1.55e-02,-1.70e-04,-1.55e-02,1.82e-10
1.17e+00,-6.39e-19,-6.26e-20,-8.52e-20,9.26e-01,-6.03e-20,1.13e-19,1.27e-19,9.27e-01,2.09e+00,4.07e-03,1.38e-04,3.21e-03,9.41e-11,-1.80e-02,1.09e-04,-1.80e-02,9.53e-11
1.19e+00,-5.39e-19,-3.37e-20,-4.26e-19,9.17e-01,-1.24e-19,2.84e-19,4.97e-20,9.18e-01,2.35e+00,4.61e-03,6.02e-04,3.52e-03,1.26e-10,-2.04e-02,4.60e-04,-2.05e-02,1.05e-10
1.22e+00,-5.39e-19,-9.45e-20,-6.25e-19,9.08e-01,-9.45e-20,0.00e+00,1.77e-19,9.09e-01,2.59e+00,5.12e-03,1.18e-03,3.79e-03,1.79e-11,-2.29e-02,8.78e-04,-2.29e-02,1.20e-11
1.24e+00,-2.84e-20,-1.01e-19,-1.13e-19,9.00e-01,-6.97e-20,-1.13e-19,2.27e-19,9.00e-01,2.83e+00,5.59e-03,1.88e-03,4.03e-03,2.21e-10,-2.53e-02,1.35e-03,-2.53e-02,2.07e-10
1.27e+00,-5.68e-20,-1.01e-19,-6.25e-19,8.92e-01,-8.79e-20,5.68e-20,1.98e-19,8.92e-01,3.06e+00,6.03e-03,2.69e-03,4.22e-03,3.78e-10,-2.77e-02,1.88e-03,-2.77e-02,3.76e-10
1.29e+00,-6.53e-19,4.97e-20,-3.40e-19,8.84e-01,-3.44e-20,-5.68e-20,1.70e-19,8.84e-01,3.28e+00,6.43e-03,3.62e-03,4.37e-03,5.86e-11,-3.01e-02,2.46e-03,-3.01e-02,6.09e-11
1.32e+00,-4.83e-19,9.67e-20,5.68e-20,8.76e-01,-6.01e-20,-5.68e-19,2.84e-20,8.76e-01,3.50e+00,6.79e-03,4.67e-03,4.49e-03,3.10e-11,-3.24e-02,3.09e-03,-3.24e-02,2.60e-11
1.34e+00,-4.54e-19,1.27e-19,0.00e+00,8.68e-01,-7.32e-21,2.84e-19,4.61e-20,8.69e-01,3.71e+00,7.09e-03,5.83e-03,4.56e-03,-2.49e-10,-3.47e-02,3.75e-03,-3.47e-02,-2.42e-10
1.37e+00,-3.97e-19,1.87e-19,-2.84e-19,8.61e-01,1.11e-21,-6.81e-19,8.16e-20,8.61e-01,3.92e+00,7.35e-03,7.10e-03,4.60e-03,-1.73e-10,-3.69e-02,4.45e-03,-3.69e-02,-8.22e-11
