F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,2.01e-18,-9.80e-18,1.98e-18,9.56e-01,2.85e-18,3.09e-18,1.40e-18,9.57e-01,1.25e+00,-3.82e-03,2.11e-03,-3.81e-03,-1.15e-08,2.36e-03,2.10e-03,2.37e-03,-1.10e-08
1.20e+00,9.09e-19,-1.45e-17,2.27e-19,9.21e-01,2.48e-20,8.18e-18,1.34e-17,9.21e-01,2.27e+00,-7.82e-03,5.08e-03,-7.78e-03,-6.16e-08,3.55e-03,5.04e-03,3.56e-03,-6.04e-08
1.30e+00,-2.27e-18,-1.18e-17,-2.04e-18,8.92e-01,1.62e-18,8.18e-18,4.05e-18,8.92e-01,3.15e+00,-1.19e-02,8.68e-03,-1.18e-02,-1.14e-07,3.78e-03,8.57e-03,3.81e-03,-1.22e-07
1.40e+00,1.00e-17,-3.88e-17,-3.10e-17,8.67e-01,3.64e-18,1.75e-17,-3.13e-18,8.68e-01,3.94e+00,-1.63e-02,1.27e-02,-1.61e-02,-1.79e-07,3.18e-03,1.25e-02,3.23e-03,-1.78e-07
1.50e+00,-1.25e-17,-1.77e-17,-5.92e-17,8.47e-01,1.21e-17,2.45e-17,-2.14e-18,8.49e-01,4.67e+00,-2.08e-02,1.72e-02,-2.05e-02,-2.99e-07,1.82e-03,1.68e-02,1.89e-03,-2.73e-07
1.60e+00,-1.57e-17,-2.13e-17,-3.52e-17,8.31e-01,1.25e-17,2.63e-17,-3.15e-18,8.33e-01,5.35e+00,-2.56e-02,2.20e-02,-2.51e-02,-5.20e-07,-2.35e-04,2.14e-02,-1.30e-04,-4.54e-07
1.70e+00,-1.38e-17,-1.63e-17,-1.43e-17,8.18e-01,1.55e-17,2.68e-17,1.21e-18,8.21e-01,5.99e+00,-3.06e-02,2.71e-02,-2.98e-02,-4.34e-11,-2.93e-03,2.62e-02,-2.80e-03,-2.25e-11
1.79e+00,-2.36e-17,-2.36e-17,-1.70e-17,8.09e-01,2.15e-17,2.86e-17,-2.95e-18,8.12e-01,6.61e+00,-3.57e-02,3.24e-02,-3.47e-02,-1.51e-10,-6.19e-03,3.12e-02,-6.03e-03,-8.64e-11
