F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.07e-17,-1.00e-17,-5.11e-18,9.58e-01,2.34e-18,-1.02e-17,-1.71e-18,9.58e-01,1.59e+00,2.45e-02,-2.68e-02,2.45e-02,-2.27e-07,-2.87e-02,-2.68e-02,-2.87e-02,-2.12e-07
1.20e+00,2.36e-17,-1.48e-17,-1.09e-17,9.26e-01,2.77e-18,-1.68e-17,2.48e-18,9.25e-01,2.86e+00,4.86e-02,-5.47e-02,4.84e-02,-2.39e-10,-5.43e-02,-5.44e-02,-5.43e-02,-4.77e-10
1.30e+00,2.45e-17,-2.30e-17,-7.50e-18,9.01e-01,-5.65e-18,-3.46e-18,-5.61e-19,9.00e-01,3.97e+00,7.27e-02,-8.42e-02,7.22e-02,-4.68e-07,-7.89e-02,-8.35e-02,-7.89e-02,-5.88e-07
1.40e+00,1.61e-17,-1.20e-17,-1.13e-17,8.82e-01,-6.74e-18,-1.37e-17,6.53e-18,8.82e-01,4.96e+00,9.74e-02,-1.15e-01,9.64e-02,-4.98e-07,-1.04e-01,-1.14e-01,-1.04e-01,-5.76e-07
1.50e+00,1.50e-17,-2.01e-17,-4.09e-18,8.69e-01,-5.05e-18,-1.81e-17,2.28e-18,8.68e-01,5.89e+00,1.23e-01,-1.49e-01,1.21e-01,-7.51e-07,-1.30e-01,-1.46e-01,-1.30e-01,-7.96e-07
1.60e+00,2.86e-17,9.09e-19,-1.36e-18,8.61e-01,-1.13e-17,-1.80e-17,1.44e-18,8.60e-01,6.77e+00,1.50e-01,-1.84e-01,1.47e-01,-1.11e-10,-1.59e-01,-1.80e-01,-1.59e-01,-7.99e-11
1.70e+00,1.86e-17,4.09e-18,-9.09e-19,8.57e-01,-8.35e-18,-4.67e-17,7.89e-18,8.56e-01,7.62e+00,1.78e-01,-2.20e-01,1.74e-01,-7.36e-10,-1.90e-01,-2.15e-01,-1.91e-01,-2.76e-10
