F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-4.76e-17,1.92e-17,7.01e-17,9.58e-01,-6.83e-18,-9.54e-19,-1.14e-17,9.54e-01,1.56e+00,-4.16e-02,7.89e-03,-3.62e-02,-6.71e-08,1.64e-02,6.85e-03,1.63e-02,-6.61e-08
1.20e+00,-2.72e-17,2.46e-17,2.38e-17,9.22e-01,-1.09e-17,-5.10e-17,-1.99e-17,9.14e-01,2.91e+00,-9.58e-02,2.10e-02,-7.36e-02,6.90e-07,2.50e-02,1.60e-02,2.48e-02,7.22e-07
1.30e+00,-2.09e-16,8.43e-17,6.10e-17,8.89e-01,-1.72e-17,6.77e-17,-1.17e-17,8.80e-01,4.10e+00,-1.58e-01,4.12e-02,-1.08e-01,1.97e-07,2.79e-02,2.79e-02,2.76e-02,1.79e-07
