epoch,train_loss,val_loss,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
1,0.4673768451809883,15.601989645706979,0.24804052710533142,0.3211859166622162,0.5326232376292279,1.5848987102508545,1.8557220697402954,-20.1354567141815
2,0.44185425646603105,0.694440295821742,0.24461029469966888,0.3122932016849518,0.5581457335809727,0.313999742269516,0.3915078043937683,0.059266625263697525
3,0.5028031276166439,0.6252159005717227,0.27014386653900146,0.33313629031181335,0.49719685923106394,0.3573009967803955,0.37148213386535645,0.1530425791338893
4,0.4023711737990379,3.1134680195858606,0.2315242439508438,0.2980137765407562,0.5976288770083051,0.8033022284507751,0.8289821147918701,-3.217703527631553
5,0.3423214529454708,0.8250206504997454,0.21226726472377777,0.27487802505493164,0.6576784777928062,0.3215230107307434,0.4267321527004242,-0.11762586625855165
6,0.35827860966324804,0.23820070687093234,0.2227308452129364,0.2812116742134094,0.6417214776311293,0.1685943752527237,0.22929494082927704,0.6773180541282211
7,0.3167093506455421,0.10876376064200151,0.22464445233345032,0.2643950879573822,0.6832906491308435,0.125094935297966,0.15494047105312347,0.8526617754018306
8,0.2873250485211611,2.8439658315558183,0.2019987851381302,0.2518313229084015,0.7126748954692963,0.7142664194107056,0.7922917604446411,-2.8526186761893495
9,0.3035797229781747,1.6538539434734143,0.1951550841331482,0.2588566541671753,0.6964202695114619,0.5844537615776062,0.6041871905326843,-1.2404166296997299
10,0.5332846756279469,0.45096315835651596,0.278456449508667,0.3430855870246887,0.4667153955294746,0.28906556963920593,0.3154957592487335,0.3890962631355849
11,0.4218562088906765,0.09809328642624773,0.23683413863182068,0.3051442503929138,0.5781437977469794,0.11622696369886398,0.14714398980140686,0.867116588943682
12,0.2796475636959076,0.12383287478434413,0.19164414703845978,0.24844399094581604,0.7203524101776007,0.11264654248952866,0.16532592475414276,0.8322480071740502
13,0.22472336702048779,0.03432074649945686,0.1823907047510147,0.22271375358104706,0.7752766415294038,0.06568469852209091,0.08703650534152985,0.953506890598507
14,0.26203122314065697,0.22521185639657473,0.18575213849544525,0.2404913604259491,0.7379687711849358,0.17947281897068024,0.22295576333999634,0.6949134111117683
15,0.3499701903760433,0.10950638221478776,0.20925308763980865,0.27793192863464355,0.6500298214790001,0.1186843141913414,0.15546858310699463,0.8516556586060261
16,0.3458888557553291,0.024004382718550533,0.20523785054683685,0.2763065993785858,0.6541110992147818,0.05933604761958122,0.07278943806886673,0.9674821038630756
17,0.372899806573987,0.38150158210804586,0.21726009249687195,0.2868923842906952,0.6271001631842392,0.21684841811656952,0.2901824116706848,0.48319355980511036
18,0.26452641397714616,0.4916311847536187,0.19762012362480164,0.24163365364074707,0.7354736313251494,0.3064660429954529,0.3294144570827484,0.3340048223369019
19,0.315399329662323,3.8365000674599097,0.20609413087368011,0.2638477087020874,0.6846006912429254,0.9074541330337524,0.9202176928520203,-4.1971699345438775
20,0.2732893380522728,0.0689332177862525,0.19339175522327423,0.24560335278511047,0.7267106669545982,0.09057638794183731,0.12334942072629929,0.9066186874334595
21,0.31340145895257593,0.1979137659072876,0.19554594159126282,0.263010710477829,0.6865985830868087,0.1535417139530182,0.20900709927082062,0.7318932092969381
22,0.3020317753404379,0.1383792867786006,0.21286612749099731,0.2581958770751953,0.6979681514208712,0.1213654950261116,0.1747666299343109,0.8125425312309005
23,0.3562488404661417,0.10811963167629744,0.2003486454486847,0.28041398525238037,0.6437511822517367,0.12563113868236542,0.15448102355003357,0.853534262497289
24,0.4158358323387802,0.6306442900707847,0.24455538392066956,0.30295902490615845,0.5841641824797832,0.36656415462493896,0.37309134006500244,0.14568885422211708
25,0.281188458185643,0.26081450440381704,0.18532419204711914,0.24912750720977783,0.718811564579175,0.22301550209522247,0.23993238806724548,0.64668388093689
26,0.35467698611319065,1.0838399811794883,0.20829547941684723,0.27979469299316406,0.6453229793204331,0.4587304890155792,0.4891088604927063,-0.4682392401569371
27,0.3163571825250983,0.16666193894649806,0.22088505327701569,0.2642480134963989,0.6836429215953616,0.12515538930892944,0.19179673492908478,0.7742289967727864
28,0.2404690331220627,0.07379380456711117,0.18963976204395294,0.23038412630558014,0.7595309473214118,0.09198571741580963,0.12762419879436493,0.9000341251035074
