F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-1.03e-19,-4.97e-20,7.10e-20,9.88e-01,-3.19e-20,-2.27e-19,-1.68e-20,9.88e-01,4.15e-01,-3.17e-03,1.49e-03,-3.06e-03,-1.77e-11,-1.78e-03,1.44e-03,-1.78e-03,2.81e-11
1.04e+00,-1.17e-19,-1.49e-19,-5.68e-19,9.77e-01,-4.44e-20,-1.70e-19,-3.55e-21,9.77e-01,8.12e-01,-6.45e-03,3.03e-03,-6.00e-03,4.88e-11,-3.54e-03,2.82e-03,-3.54e-03,6.00e-11
1.07e+00,-3.55e-20,-1.80e-19,-8.52e-19,9.67e-01,-1.58e-19,-1.70e-19,3.55e-20,9.66e-01,1.19e+00,-9.81e-03,4.62e-03,-8.83e-03,-1.62e-10,-5.28e-03,4.16e-03,-5.28e-03,-1.54e-10
1.09e+00,-4.68e-19,-1.77e-19,-6.81e-19,9.57e-01,-1.80e-19,-6.81e-19,1.34e-19,9.56e-01,1.55e+00,-1.32e-02,6.26e-03,-1.15e-02,-6.31e-11,-6.99e-03,5.44e-03,-6.98e-03,-6.84e-11
1.12e+00,-4.26e-19,-2.27e-19,-7.38e-19,9.47e-01,-1.79e-19,-6.81e-19,-2.48e-20,9.46e-01,1.90e+00,-1.68e-02,7.93e-03,-1.41e-02,-1.33e-10,-8.67e-03,6.67e-03,-8.66e-03,-9.55e-11
1.14e+00,-6.96e-19,-6.92e-20,-2.27e-19,9.37e-01,-1.67e-19,-1.13e-18,2.13e-20,9.36e-01,2.23e+00,-2.03e-02,9.64e-03,-1.66e-02,4.61e-11,-1.03e-02,7.85e-03,-1.03e-02,4.32e-11
1.17e+00,-4.26e-20,-3.17e-19,-1.13e-19,9.28e-01,-1.21e-19,-6.81e-19,1.77e-19,9.27e-01,2.56e+00,-2.40e-02,1.13e-02,-1.90e-02,-2.31e-11,-1.19e-02,8.98e-03,-1.19e-02,-1.79e-11
1.19e+00,-1.13e-19,-3.20e-19,2.27e-19,9.19e-01,-1.38e-19,-4.54e-19,1.63e-19,9.18e-01,2.87e+00,-2.77e-02,1.31e-02,-2.12e-02,-1.87e-12,-1.35e-02,1.00e-02,-1.34e-02,-6.43e-12
1.22e+00,-5.68e-20,-3.88e-19,2.27e-19,9.11e-01,-2.23e-20,-9.09e-19,1.63e-19,9.09e-01,3.17e+00,-3.15e-02,1.49e-02,-2.34e-02,-3.05e-10,-1.50e-02,1.10e-02,-1.50e-02,-3.04e-10
1.24e+00,3.12e-19,-3.69e-19,-5.68e-19,9.02e-01,-4.39e-20,-4.54e-19,-7.10e-20,9.01e-01,3.46e+00,-3.53e-02,1.67e-02,-2.54e-02,-8.84e-07,-1.65e-02,1.20e-02,-1.65e-02,-8.83e-07
1.27e+00,9.94e-19,-1.29e-19,-1.02e-18,8.94e-01,-6.43e-20,-1.13e-18,-5.68e-20,8.92e-01,3.75e+00,-3.91e-02,1.85e-02,-2.74e-02,-9.60e-11,-1.80e-02,1.30e-02,-1.79e-02,-1.02e-10
1.29e+00,1.13e-18,5.63e-20,-6.81e-19,8.86e-01,1.49e-19,-1.36e-18,-1.27e-19,8.84e-01,4.02e+00,-4.29e-02,2.04e-02,-2.93e-02,-2.61e-10,-1.94e-02,1.38e-02,-1.93e-02,-2.08e-10
1.32e+00,1.50e-18,7.59e-20,-1.13e-18,8.79e-01,1.77e-19,-6.81e-19,-1.98e-19,8.77e-01,4.29e+00,-4.68e-02,2.22e-02,-3.10e-02,-8.18e-09,-2.08e-02,1.47e-02,-2.07e-02,-1.22e-08
1.34e+00,1.59e-18,-7.27e-19,-1.59e-18,8.71e-01,-1.64e-19,-1.81e-18,2.84e-20,8.69e-01,4.55e+00,-5.06e-02,2.41e-02,-3.27e-02,1.37e-11,-2.21e-02,1.55e-02,-2.20e-02,2.60e-11
1.37e+00,2.78e-18,-7.10e-19,-1.81e-18,8.64e-01,-2.92e-19,-2.27e-18,4.12e-19,8.62e-01,4.81e+00,-5.45e-02,2.60e-02,-3.43e-02,-9.83e-10,-2.34e-02,1.63e-02,-2.33e-02,-1.04e-09
1.39e+00,2.55e-18,2.14e-19,-1.13e-18,8.57e-01,-3.01e-19,-9.09e-19,1.22e-18,8.55e-01,5.05e+00,-5.84e-02,2.78e-02,-3.58e-02,-4.26e-11,-2.46e-02,1.70e-02,-2.46e-02,7.13e-12
1.42e+00,1.93e-18,-1.82e-20,-2.04e-18,8.50e-01,-9.40e-20,-1.81e-18,1.27e-18,8.48e-01,5.29e+00,-6.23e-02,2.96e-02,-3.72e-02,-5.65e-10,-2.59e-02,1.76e-02,-2.58e-02,-5.22e-10
1.44e+00,-1.13e-19,5.58e-19,-4.54e-19,8.44e-01,8.42e-19,-1.36e-18,4.40e-19,8.41e-01,5.53e+00,-6.62e-02,3.12e-02,-3.85e-02,1.20e-11,-2.73e-02,1.81e-02,-2.72e-02,1.71e-12
1.47e+00,4.54e-19,2.26e-19,-2.27e-19,8.37e-01,7.71e-19,-1.36e-18,9.94e-20,8.35e-01,5.76e+00,-6.99e-02,3.29e-02,-3.97e-02,-1.20e-10,-2.87e-02,1.86e-02,-2.86e-02,-1.23e-10
1.49e+00,-1.13e-19,-5.93e-19,-9.09e-19,8.31e-01,1.77e-19,-4.54e-19,8.24e-19,8.28e-01,5.98e+00,-7.34e-02,3.45e-02,-4.07e-02,-2.90e-11,-3.01e-02,1.90e-02,-3.00e-02,-3.61e-11
