F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,7.14e-20,-7.97e-20,1.27e-19,9.89e-01,-3.24e-20,2.27e-19,-1.96e-19,9.88e-01,4.46e-01,-3.12e-03,1.61e-03,-3.01e-03,-3.32e-11,9.88e-04,1.55e-03,9.87e-04,4.79e-11
1.04e+00,3.73e-19,-5.56e-20,-2.84e-19,9.78e-01,-3.57e-20,7.67e-19,-2.48e-19,9.76e-01,8.72e-01,-6.17e-03,3.37e-03,-5.75e-03,3.90e-11,2.07e-03,3.13e-03,2.07e-03,6.34e-11
1.07e+00,3.85e-19,3.20e-20,-5.96e-19,9.68e-01,-5.52e-20,2.84e-19,-2.73e-19,9.65e-01,1.27e+00,-9.13e-03,5.25e-03,-8.22e-03,-1.77e-10,3.25e-03,4.72e-03,3.24e-03,-1.76e-10
1.09e+00,7.81e-20,8.84e-20,-2.27e-19,9.58e-01,-1.97e-20,2.84e-19,-2.87e-19,9.55e-01,1.66e+00,-1.19e-02,7.23e-03,-1.04e-02,-7.21e-11,4.50e-03,6.28e-03,4.49e-03,-4.65e-11
1.12e+00,3.37e-19,1.75e-19,-2.84e-19,9.49e-01,-4.89e-20,-2.27e-19,-4.83e-19,9.45e-01,2.04e+00,-1.47e-02,9.31e-03,-1.24e-02,-6.00e-11,5.83e-03,7.82e-03,5.81e-03,-4.66e-11
1.14e+00,9.51e-19,2.54e-19,-3.97e-19,9.39e-01,-4.11e-20,-6.81e-19,-5.22e-19,9.35e-01,2.39e+00,-1.74e-02,1.14e-02,-1.42e-02,-2.58e-11,7.23e-03,9.31e-03,7.19e-03,-8.12e-11
1.17e+00,6.21e-19,2.33e-19,-4.54e-19,9.30e-01,1.30e-20,-5.68e-19,-5.22e-19,9.25e-01,2.74e+00,-1.99e-02,1.36e-02,-1.58e-02,5.93e-11,8.68e-03,1.07e-02,8.63e-03,8.52e-11
1.19e+00,6.18e-19,2.37e-19,-3.40e-19,9.22e-01,1.30e-20,-5.68e-19,-5.78e-19,9.16e-01,3.07e+00,-2.24e-02,1.58e-02,-1.72e-02,5.56e-11,1.01e-02,1.21e-02,1.01e-02,9.35e-11
1.22e+00,1.27e-18,2.91e-19,0.00e+00,9.14e-01,-3.10e-21,-8.52e-19,-6.96e-19,9.07e-01,3.39e+00,-2.47e-02,1.81e-02,-1.84e-02,1.65e-10,1.17e-02,1.34e-02,1.16e-02,1.90e-10
1.24e+00,1.13e-18,3.59e-19,-3.40e-19,9.05e-01,-1.23e-19,-6.81e-19,-5.82e-19,8.98e-01,3.70e+00,-2.70e-02,2.04e-02,-1.95e-02,-1.37e-10,1.33e-02,1.47e-02,1.32e-02,-1.87e-10
1.27e+00,1.77e-18,2.22e-19,-1.13e-19,8.98e-01,-1.34e-19,-1.02e-18,-6.32e-19,8.90e-01,4.00e+00,-2.91e-02,2.27e-02,-2.05e-02,2.64e-10,1.49e-02,1.58e-02,1.48e-02,2.63e-10
1.29e+00,1.64e-18,1.70e-19,-4.54e-19,8.90e-01,-1.24e-19,-1.93e-18,-7.10e-19,8.82e-01,4.30e+00,-3.12e-02,2.50e-02,-2.14e-02,-1.75e-10,1.66e-02,1.69e-02,1.64e-02,-1.50e-10
1.32e+00,1.63e-18,-3.90e-20,-2.04e-18,8.82e-01,-1.96e-19,-1.93e-18,-6.96e-19,8.74e-01,4.58e+00,-3.32e-02,2.73e-02,-2.21e-02,8.71e-12,1.83e-02,1.80e-02,1.81e-02,1.25e-11
1.34e+00,9.23e-19,-3.48e-19,-1.02e-18,8.75e-01,-2.23e-19,-2.04e-18,-6.32e-19,8.67e-01,4.86e+00,-3.51e-02,2.95e-02,-2.27e-02,-1.25e-09,2.00e-02,1.89e-02,1.98e-02,-2.16e-09
1.37e+00,5.11e-19,-3.39e-19,-1.70e-18,8.68e-01,-3.54e-19,-2.27e-18,-7.24e-19,8.59e-01,5.13e+00,-3.69e-02,3.17e-02,-2.33e-02,-3.60e-10,2.17e-02,1.98e-02,2.15e-02,-3.40e-10
