F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-5.04e-19,-1.28e-19,1.27e-19,9.88e-01,-2.20e-20,1.70e-19,-8.08e-20,9.88e-01,3.98e-01,-3.85e-04,1.37e-04,-3.72e-04,1.14e-10,-4.02e-03,1.32e-04,-4.02e-03,1.08e-10
1.04e+00,-4.75e-19,-1.49e-19,5.68e-20,9.77e-01,1.60e-20,2.84e-19,-2.66e-20,9.77e-01,7.77e-01,-8.28e-04,3.97e-04,-7.71e-04,9.62e-11,-7.89e-03,3.69e-04,-7.89e-03,1.00e-10
1.07e+00,-7.03e-19,-7.27e-20,-1.70e-19,9.66e-01,6.75e-20,1.70e-19,1.95e-20,9.66e-01,1.13e+00,-1.32e-03,7.74e-04,-1.19e-03,-1.33e-10,-1.16e-02,6.96e-04,-1.16e-02,-1.22e-10
1.09e+00,-6.96e-19,-1.46e-19,-2.27e-19,9.56e-01,0.00e+00,-1.13e-19,3.55e-20,9.56e-01,1.48e+00,-1.86e-03,1.26e-03,-1.62e-03,-8.18e-11,-1.52e-02,1.09e-03,-1.52e-02,-7.96e-11
1.12e+00,-7.38e-19,-7.05e-20,-1.70e-19,9.46e-01,7.65e-21,-2.27e-19,2.13e-20,9.46e-01,1.81e+00,-2.45e-03,1.85e-03,-2.06e-03,3.00e-11,-1.86e-02,1.56e-03,-1.86e-02,4.90e-11
1.14e+00,-8.24e-19,-4.78e-20,-2.27e-19,9.37e-01,-8.53e-20,-9.09e-19,4.61e-20,9.36e-01,2.13e+00,-3.08e-03,2.55e-03,-2.51e-03,-1.16e-10,-2.20e-02,2.07e-03,-2.20e-02,-1.01e-10
1.17e+00,-8.52e-19,7.03e-20,-2.27e-19,9.27e-01,-4.17e-20,-1.59e-18,4.61e-20,9.27e-01,2.44e+00,-3.75e-03,3.33e-03,-2.96e-03,1.68e-10,-2.52e-02,2.63e-03,-2.52e-02,1.58e-10
1.19e+00,-1.16e-18,-7.72e-20,0.00e+00,9.18e-01,-6.66e-20,-1.13e-18,2.84e-20,9.18e-01,2.74e+00,-4.47e-03,4.19e-03,-3.42e-03,1.81e-11,-2.83e-02,3.21e-03,-2.83e-02,-3.16e-11
1.22e+00,-9.37e-19,4.12e-20,-1.13e-19,9.10e-01,-1.21e-19,-1.47e-18,-5.68e-20,9.09e-01,3.03e+00,-5.22e-03,5.14e-03,-3.88e-03,-1.79e-10,-3.13e-02,3.81e-03,-3.12e-02,-1.43e-10
1.24e+00,-5.68e-19,-7.08e-20,-6.81e-19,9.01e-01,-1.09e-19,-1.02e-18,-2.84e-20,9.01e-01,3.31e+00,-6.02e-03,6.15e-03,-4.34e-03,-3.00e-10,-3.41e-02,4.43e-03,-3.41e-02,-2.92e-10
1.27e+00,-1.10e-18,1.44e-19,-3.40e-19,8.93e-01,-8.70e-20,-1.36e-18,2.13e-20,8.93e-01,3.58e+00,-6.86e-03,7.22e-03,-4.81e-03,2.26e-11,-3.69e-02,5.05e-03,-3.68e-02,2.11e-11
1.29e+00,-1.98e-18,1.66e-19,-5.68e-19,8.85e-01,-2.02e-19,-1.81e-18,-8.52e-20,8.85e-01,3.84e+00,-7.74e-03,8.34e-03,-5.27e-03,1.12e-10,-3.95e-02,5.68e-03,-3.95e-02,-1.81e-10
1.32e+00,-1.42e-18,1.25e-19,-9.09e-19,8.78e-01,-2.21e-19,-1.13e-18,2.48e-19,8.77e-01,4.09e+00,-8.66e-03,9.48e-03,-5.74e-03,-8.91e-10,-4.20e-02,6.27e-03,-4.20e-02,-1.02e-09
1.34e+00,2.30e-18,-9.47e-19,1.36e-18,8.70e-01,7.38e-19,-5.91e-18,-1.75e-18,8.69e-01,4.34e+00,-9.58e-03,1.06e-02,-6.18e-03,2.19e-12,-4.44e-02,6.85e-03,-4.44e-02,-4.89e-13
1.37e+00,2.50e-18,-9.82e-19,2.27e-19,8.63e-01,8.25e-19,-5.91e-18,-1.74e-18,8.62e-01,4.58e+00,-1.04e-02,1.18e-02,-6.58e-03,-5.29e-10,-4.67e-02,7.42e-03,-4.66e-02,-5.25e-10
