F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-9.23e-20,-3.76e-21,-1.84e-19,9.88e-01,4.77e-20,-4.26e-20,-3.95e-20,9.88e-01,3.61e-01,-8.40e-04,-1.82e-03,-8.10e-04,7.76e-11,2.29e-04,-1.76e-03,2.30e-04,2.05e-11
1.04e+00,-2.43e-19,9.49e-20,1.42e-19,9.77e-01,3.82e-20,-1.13e-19,-8.16e-20,9.77e-01,7.07e-01,-1.61e-03,-3.75e-03,-1.49e-03,4.55e-10,5.10e-04,-3.49e-03,5.10e-04,3.80e-10
1.07e+00,-3.69e-19,2.16e-20,-8.52e-20,9.66e-01,5.48e-20,3.97e-19,-7.10e-21,9.67e-01,1.03e+00,-2.31e-03,-5.76e-03,-2.07e-03,6.04e-11,8.37e-04,-5.18e-03,8.37e-04,3.06e-11
1.09e+00,-2.16e-19,-1.01e-20,-2.41e-19,9.55e-01,4.61e-20,2.84e-20,-1.09e-19,9.56e-01,1.35e+00,-2.95e-03,-7.85e-03,-2.56e-03,-1.07e-10,1.20e-03,-6.83e-03,1.20e-03,-1.15e-10
1.12e+00,-1.27e-19,2.81e-20,-4.97e-19,9.45e-01,7.14e-20,1.42e-19,-1.42e-19,9.46e-01,1.65e+00,-3.53e-03,-1.00e-02,-2.97e-03,2.26e-11,1.61e-03,-8.43e-03,1.62e-03,5.61e-12
1.14e+00,3.05e-19,-5.55e-20,-6.39e-19,9.35e-01,6.68e-20,3.40e-19,-9.23e-20,9.37e-01,1.94e+00,-4.06e-03,-1.22e-02,-3.30e-03,1.34e-10,2.06e-03,-9.97e-03,2.07e-03,1.09e-10
1.17e+00,2.13e-20,-1.88e-19,2.55e-19,9.26e-01,9.12e-20,2.84e-19,-1.95e-19,9.28e-01,2.22e+00,-4.55e-03,-1.45e-02,-3.58e-03,1.03e-10,2.55e-03,-1.14e-02,2.55e-03,9.98e-11
1.19e+00,4.97e-19,-2.35e-19,-1.27e-19,9.17e-01,1.16e-19,0.00e+00,-2.29e-19,9.19e-01,2.49e+00,-4.99e-03,-1.68e-02,-3.81e-03,1.15e-11,3.06e-03,-1.28e-02,3.07e-03,-1.08e-11
1.22e+00,3.69e-19,-2.56e-19,-3.55e-19,9.08e-01,8.70e-20,-2.27e-19,-3.28e-19,9.10e-01,2.75e+00,-5.40e-03,-1.91e-02,-4.01e-03,-2.29e-11,3.60e-03,-1.42e-02,3.61e-03,-2.22e-11
1.24e+00,3.26e-19,-1.74e-19,-2.69e-19,8.99e-01,5.26e-20,1.13e-19,-3.09e-19,9.01e-01,3.00e+00,-5.79e-03,-2.15e-02,-4.17e-03,3.03e-11,4.17e-03,-1.55e-02,4.18e-03,3.04e-11
1.27e+00,-1.42e-19,-1.77e-19,-1.42e-20,8.91e-01,8.54e-20,-5.68e-20,-3.53e-19,8.93e-01,3.25e+00,-6.15e-03,-2.39e-02,-4.30e-03,-1.63e-10,4.77e-03,-1.68e-02,4.78e-03,-1.73e-10
1.29e+00,2.27e-19,-9.36e-20,4.97e-19,8.83e-01,5.72e-20,-5.68e-19,-3.07e-19,8.85e-01,3.49e+00,-6.50e-03,-2.64e-02,-4.42e-03,-6.21e-07,5.38e-03,-1.79e-02,5.40e-03,-6.27e-07
1.32e+00,5.68e-20,-2.03e-19,4.97e-19,8.75e-01,4.17e-20,-1.13e-18,-3.39e-19,8.78e-01,3.72e+00,-6.83e-03,-2.88e-02,-4.52e-03,-1.68e-11,6.02e-03,-1.91e-02,6.04e-03,-1.62e-11
1.34e+00,8.52e-20,-2.23e-19,1.70e-19,8.68e-01,7.54e-20,-1.02e-18,-3.40e-19,8.70e-01,3.94e+00,-7.16e-03,-3.12e-02,-4.60e-03,-1.39e-09,6.68e-03,-2.01e-02,6.69e-03,-1.48e-09
1.37e+00,5.11e-19,-3.45e-19,-1.13e-19,8.61e-01,4.52e-20,-1.25e-18,-5.15e-19,8.63e-01,4.16e+00,-7.46e-03,-3.36e-02,-4.67e-03,-3.03e-11,7.35e-03,-2.11e-02,7.37e-03,-5.77e-11
1.39e+00,2.13e-19,-4.16e-19,-8.80e-19,8.54e-01,2.37e-19,-1.70e-18,-4.47e-19,8.56e-01,4.38e+00,-7.73e-03,-3.60e-02,-4.72e-03,-3.31e-09,8.03e-03,-2.20e-02,8.05e-03,-3.24e-09
1.42e+00,4.54e-19,-1.66e-18,-2.47e-18,8.47e-01,1.63e-18,-2.15e-18,-5.62e-19,8.49e-01,4.58e+00,-7.98e-03,-3.84e-02,-4.74e-03,1.43e-12,8.75e-03,-2.29e-02,8.77e-03,1.34e-12
1.44e+00,6.67e-19,-1.68e-18,-2.81e-18,8.40e-01,1.88e-18,-5.34e-18,-1.03e-18,8.42e-01,4.79e+00,-8.20e-03,-4.07e-02,-4.75e-03,-4.82e-12,9.48e-03,-2.36e-02,9.51e-03,-3.37e-12
