F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-3.30e-19,2.02e-19,6.57e-20,9.58e-01,-1.14e-19,7.10e-21,-1.61e-19,9.58e-01,1.06e+00,-1.37e-03,9.72e-05,-1.37e-03,-3.35e-09,2.04e-03,9.71e-05,2.04e-03,-3.33e-09
1.20e+00,-2.48e-19,-5.32e-20,-4.75e-19,9.22e-01,-2.07e-19,-3.55e-19,-2.22e-19,9.22e-01,1.95e+00,-2.95e-03,4.20e-04,-2.92e-03,-7.03e-09,3.83e-03,4.15e-04,3.83e-03,-6.97e-09
1.30e+00,-1.70e-19,6.39e-20,-2.84e-20,8.91e-01,-2.61e-19,-6.10e-19,-6.48e-20,8.92e-01,2.71e+00,-4.69e-03,9.27e-04,-4.59e-03,-1.24e-08,5.45e-03,9.03e-04,5.45e-03,-1.23e-08
1.40e+00,7.10e-20,-5.96e-19,1.42e-19,8.65e-01,2.46e-19,-1.13e-18,-5.50e-20,8.65e-01,3.39e+00,-6.56e-03,1.57e-03,-6.33e-03,-1.86e-08,6.97e-03,1.50e-03,6.96e-03,-1.86e-08
1.50e+00,-3.12e-19,-1.09e-18,4.54e-19,8.42e-01,1.11e-19,-4.40e-19,1.26e-19,8.43e-01,4.00e+00,-8.54e-03,2.32e-03,-8.09e-03,-2.54e-08,8.43e-03,2.16e-03,8.40e-03,-2.56e-08
1.60e+00,-1.07e-18,-5.11e-19,6.81e-19,8.22e-01,3.19e-20,-5.11e-19,9.18e-19,8.23e-01,4.56e+00,-1.06e-02,3.14e-03,-9.84e-03,-3.37e-08,9.86e-03,2.85e-03,9.82e-03,-3.39e-08
1.70e+00,1.56e-18,-1.42e-19,-2.84e-19,8.04e-01,-4.08e-19,-6.25e-19,7.51e-19,8.05e-01,5.09e+00,-1.27e-02,4.01e-03,-1.15e-02,-4.47e-08,1.12e-02,3.54e-03,1.12e-02,-4.50e-08
1.80e+00,2.21e-18,8.52e-20,-2.84e-19,7.89e-01,-6.96e-19,-1.87e-18,8.56e-19,7.90e-01,5.58e+00,-1.48e-02,4.93e-03,-1.32e-02,-6.06e-08,1.27e-02,4.22e-03,1.26e-02,-6.07e-08
1.90e+00,4.83e-18,4.83e-19,1.13e-18,7.75e-01,-1.06e-18,0.00e+00,8.66e-19,7.77e-01,6.05e+00,-1.70e-02,5.89e-03,-1.48e-02,-8.45e-08,1.41e-02,4.89e-03,1.39e-02,-8.45e-08
2.00e+00,4.88e-18,1.36e-18,2.84e-18,7.63e-01,-1.12e-18,1.64e-18,8.09e-19,7.66e-01,6.51e+00,-1.92e-02,6.90e-03,-1.63e-02,-1.22e-07,1.55e-02,5.54e-03,1.53e-02,-1.22e-07
