F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,7.53e-19,2.34e-19,4.68e-19,9.58e-01,-4.46e-20,-3.33e-19,7.37e-20,9.58e-01,1.11e+00,2.92e-04,6.39e-04,2.91e-04,-4.21e-09,1.42e-03,6.37e-04,1.42e-03,-4.20e-09
1.20e+00,1.27e-18,-1.13e-19,6.67e-19,9.22e-01,-2.05e-19,-8.52e-20,4.79e-20,9.23e-01,2.03e+00,5.71e-04,1.26e-03,5.67e-04,-1.09e-08,2.84e-03,1.25e-03,2.84e-03,-1.10e-08
1.30e+00,6.53e-19,-5.11e-19,9.09e-19,8.92e-01,-7.01e-20,-2.84e-19,1.42e-20,8.93e-01,2.82e+00,8.70e-04,1.85e-03,8.58e-04,-2.03e-08,4.31e-03,1.81e-03,4.31e-03,-2.03e-08
1.40e+00,1.10e-18,-1.50e-18,2.27e-19,8.66e-01,-1.88e-19,-8.52e-19,7.96e-19,8.68e-01,3.52e+00,1.20e-03,2.40e-03,1.18e-03,-2.85e-08,5.85e-03,2.32e-03,5.85e-03,-2.87e-08
1.50e+00,2.72e-18,-1.70e-18,5.68e-20,8.44e-01,-7.99e-21,-2.27e-19,8.33e-19,8.46e-01,4.16e+00,1.59e-03,2.91e-03,1.53e-03,-3.65e-08,7.48e-03,2.77e-03,7.48e-03,-3.70e-08
1.60e+00,4.60e-18,-4.54e-19,-1.36e-18,8.25e-01,-3.30e-19,-7.38e-19,1.20e-19,8.27e-01,4.75e+00,2.00e-03,3.40e-03,1.90e-03,-4.65e-08,9.20e-03,3.18e-03,9.19e-03,-4.74e-08
1.70e+00,3.80e-18,-2.84e-19,-1.93e-18,8.08e-01,-1.70e-19,-1.13e-18,3.90e-19,8.11e-01,5.29e+00,2.42e-03,3.89e-03,2.28e-03,-6.08e-08,1.09e-02,3.57e-03,1.09e-02,-6.19e-08
1.80e+00,5.45e-18,-1.13e-19,2.27e-19,7.94e-01,-6.58e-19,1.36e-18,6.90e-19,7.97e-01,5.81e+00,2.83e-03,4.39e-03,2.63e-03,-8.26e-08,1.27e-02,3.95e-03,1.27e-02,-8.37e-08
1.90e+00,5.22e-18,-3.40e-19,1.59e-18,7.81e-01,3.90e-20,2.84e-18,3.56e-19,7.85e-01,6.30e+00,3.22e-03,4.91e-03,2.95e-03,-1.17e-07,1.45e-02,4.32e-03,1.45e-02,-1.17e-07
2.00e+00,5.45e-18,-1.81e-18,1.47e-18,7.71e-01,5.68e-20,3.40e-18,1.40e-19,7.76e-01,6.78e+00,3.56e-03,5.47e-03,3.23e-03,-1.75e-07,1.63e-02,4.71e-03,1.62e-02,-1.74e-07
