F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-2.45e-19,1.70e-19,-1.88e-19,9.58e-01,5.15e-20,-2.52e-19,-6.12e-20,9.57e-01,1.03e+00,8.18e-04,-4.74e-04,8.17e-04,-2.66e-09,-1.10e-04,-4.73e-04,-1.10e-04,-2.62e-09
1.20e+00,-4.04e-19,-4.79e-19,-2.41e-19,9.22e-01,-1.07e-19,-1.98e-19,1.78e-19,9.21e-01,1.90e+00,1.75e-03,-9.57e-04,1.73e-03,-5.67e-09,-2.28e-04,-9.47e-04,-2.29e-04,-5.59e-09
1.30e+00,-5.96e-19,-7.24e-19,3.83e-19,8.92e-01,-2.14e-19,4.40e-19,1.86e-19,8.90e-01,2.64e+00,2.74e-03,-1.43e-03,2.68e-03,-1.01e-08,-3.62e-04,-1.40e-03,-3.66e-04,-9.87e-09
1.40e+00,2.27e-19,-1.56e-19,1.22e-18,8.65e-01,2.39e-19,6.81e-19,1.77e-20,8.62e-01,3.30e+00,3.76e-03,-1.92e-03,3.62e-03,-1.48e-08,-5.21e-04,-1.85e-03,-5.29e-04,-1.43e-08
1.50e+00,1.13e-19,7.67e-19,2.15e-18,8.42e-01,-2.23e-19,-4.40e-19,1.54e-19,8.39e-01,3.90e+00,4.79e-03,-2.42e-03,4.53e-03,-1.97e-08,-7.10e-04,-2.29e-03,-7.25e-04,-1.87e-08
1.60e+00,1.61e-18,1.13e-18,1.87e-18,8.22e-01,-3.49e-19,-1.30e-18,2.07e-19,8.18e-01,4.45e+00,5.84e-03,-2.95e-03,5.42e-03,-2.54e-08,-9.36e-04,-2.73e-03,-9.60e-04,-2.37e-08
1.70e+00,2.95e-18,1.59e-18,1.70e-18,8.04e-01,-3.51e-19,-1.87e-18,4.72e-19,7.99e-01,4.96e+00,6.92e-03,-3.49e-03,6.28e-03,-3.31e-08,-1.20e-03,-3.16e-03,-1.23e-03,-3.03e-08
1.80e+00,2.50e-18,8.80e-19,1.13e-18,7.89e-01,-2.13e-19,-1.96e-18,1.27e-19,7.83e-01,5.45e+00,8.02e-03,-4.05e-03,7.12e-03,-4.42e-08,-1.50e-03,-3.59e-03,-1.55e-03,-3.96e-08
1.90e+00,1.47e-18,-4.83e-19,3.97e-18,7.75e-01,1.77e-20,-3.63e-18,-6.25e-19,7.68e-01,5.90e+00,9.15e-03,-4.63e-03,7.95e-03,-6.09e-08,-1.86e-03,-4.01e-03,-1.92e-03,-5.35e-08
2.00e+00,-7.95e-19,-1.90e-18,2.72e-18,7.63e-01,2.91e-19,-5.85e-18,-8.95e-19,7.55e-01,6.34e+00,1.03e-02,-5.23e-03,8.79e-03,-8.69e-08,-2.26e-03,-4.42e-03,-2.34e-03,-7.52e-08
