F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,2.62e-19,-1.60e-17,-5.76e-18,9.56e-01,-6.97e-18,1.02e-17,-3.42e-18,9.57e-01,1.24e+00,5.94e-03,4.20e-04,5.93e-03,-1.15e-08,2.93e-03,4.17e-04,2.94e-03,-1.22e-08
1.20e+00,3.69e-18,-1.43e-17,-2.00e-17,9.20e-01,-6.36e-18,-4.03e-18,-7.65e-18,9.22e-01,2.26e+00,1.18e-02,2.54e-03,1.17e-02,-6.45e-08,5.42e-03,2.52e-03,5.44e-03,-6.49e-08
1.30e+00,-3.77e-18,-5.11e-18,-9.37e-19,8.91e-01,-3.56e-19,-1.25e-18,-1.57e-18,8.93e-01,3.13e+00,1.77e-02,5.92e-03,1.76e-02,-1.48e-07,7.91e-03,5.86e-03,7.95e-03,-1.39e-07
1.40e+00,-2.57e-18,-1.47e-17,3.21e-17,8.66e-01,-7.05e-18,6.81e-18,-4.61e-19,8.68e-01,3.92e+00,2.38e-02,1.02e-02,2.35e-02,-2.79e-07,1.06e-02,1.01e-02,1.07e-02,-2.46e-07
1.50e+00,1.17e-17,-2.27e-18,3.34e-17,8.46e-01,-8.67e-18,1.79e-17,-6.11e-18,8.48e-01,4.63e+00,3.00e-02,1.53e-02,2.96e-02,-1.99e-10,1.39e-02,1.50e-02,1.40e-02,-8.23e-11
1.60e+00,-2.21e-18,1.81e-17,4.60e-17,8.29e-01,-1.07e-17,1.00e-17,-6.39e-19,8.32e-01,5.30e+00,3.64e-02,2.10e-02,3.57e-02,-1.14e-09,1.77e-02,2.06e-02,1.78e-02,-4.35e-10
1.70e+00,-1.20e-17,1.65e-17,4.29e-17,8.16e-01,-1.10e-17,1.27e-17,7.30e-18,8.19e-01,5.94e+00,4.29e-02,2.73e-02,4.20e-02,-3.76e-09,2.21e-02,2.66e-02,2.24e-02,-1.38e-09
