F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,2.89e-18,6.30e-18,8.97e-18,9.57e-01,-2.01e-19,-4.03e-18,-1.55e-18,9.57e-01,1.41e+00,-1.42e-02,-1.49e-03,-1.42e-02,-6.61e-08,-7.11e-03,-1.48e-03,-7.11e-03,-5.74e-08
1.20e+00,1.59e-18,5.11e-18,1.80e-17,9.24e-01,5.45e-18,2.15e-18,-6.09e-18,9.23e-01,2.55e+00,-2.98e-02,-4.32e-03,-2.97e-02,-2.49e-07,-1.52e-02,-4.30e-03,-1.52e-02,-2.48e-07
1.30e+00,-1.13e-17,6.93e-18,2.50e-17,8.97e-01,4.35e-18,1.54e-17,-2.00e-18,8.95e-01,3.53e+00,-4.67e-02,-8.34e-03,-4.64e-02,-3.46e-07,-2.47e-02,-8.26e-03,-2.47e-02,-4.59e-07
1.40e+00,-2.97e-17,1.34e-17,3.13e-17,8.76e-01,2.57e-19,1.36e-17,-1.10e-17,8.73e-01,4.41e+00,-6.49e-02,-1.33e-02,-6.43e-02,-7.19e-11,-3.56e-02,-1.31e-02,-3.56e-02,-2.66e-10
1.50e+00,-3.04e-17,1.13e-17,2.31e-17,8.60e-01,5.58e-18,-2.27e-18,-1.15e-17,8.55e-01,5.22e+00,-8.46e-02,-1.90e-02,-8.35e-02,-5.00e-11,-4.79e-02,-1.86e-02,-4.79e-02,-1.55e-10
1.60e+00,-4.59e-17,1.59e-17,2.22e-17,8.49e-01,7.65e-18,5.00e-18,-1.13e-17,8.41e-01,5.99e+00,-1.05e-01,-2.50e-02,-1.04e-01,-7.83e-11,-6.16e-02,-2.45e-02,-6.17e-02,-1.79e-10
1.70e+00,-5.22e-17,-9.09e-19,1.22e-17,8.42e-01,3.55e-18,-1.68e-17,-1.29e-17,8.31e-01,6.72e+00,-1.28e-01,-3.12e-02,-1.26e-01,-2.35e-10,-7.67e-02,-3.04e-02,-7.68e-02,-5.15e-10
