F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,5.25e-19,-2.55e-19,-4.54e-19,9.58e-01,1.46e-19,2.27e-19,2.48e-19,9.58e-01,1.08e+00,1.56e-04,4.79e-04,1.56e-04,-3.63e-09,1.28e-03,4.78e-04,1.28e-03,-3.68e-09
1.20e+00,1.19e-18,-1.70e-19,-7.95e-19,9.23e-01,1.66e-19,-3.69e-19,3.58e-19,9.22e-01,1.98e+00,4.16e-04,1.19e-03,4.11e-04,-8.79e-09,2.48e-03,1.18e-03,2.48e-03,-8.87e-09
1.30e+00,5.68e-20,4.54e-19,-2.84e-19,8.92e-01,-7.45e-20,5.68e-19,5.96e-19,8.91e-01,2.75e+00,7.64e-04,2.11e-03,7.43e-04,-1.58e-08,3.66e-03,2.06e-03,3.66e-03,-1.61e-08
1.40e+00,-2.27e-19,1.93e-18,-4.54e-19,8.67e-01,-2.30e-19,-1.70e-19,2.98e-19,8.65e-01,3.44e+00,1.18e-03,3.20e-03,1.13e-03,-2.28e-08,4.83e-03,3.07e-03,4.84e-03,-2.37e-08
1.50e+00,2.04e-18,2.50e-18,-1.59e-18,8.44e-01,1.34e-19,-1.47e-18,5.25e-19,8.42e-01,4.06e+00,1.67e-03,4.45e-03,1.56e-03,-2.99e-08,6.04e-03,4.18e-03,6.04e-03,-3.16e-08
1.60e+00,1.59e-18,1.81e-18,-3.86e-18,8.25e-01,1.20e-19,-2.04e-18,4.75e-19,8.22e-01,4.63e+00,2.20e-03,5.82e-03,2.01e-03,-3.82e-08,7.28e-03,5.35e-03,7.29e-03,-4.08e-08
1.70e+00,2.72e-18,2.04e-18,-5.00e-18,8.08e-01,4.47e-19,-2.04e-18,-4.61e-20,8.05e-01,5.16e+00,2.76e-03,7.27e-03,2.46e-03,-4.97e-08,8.58e-03,6.53e-03,8.59e-03,-5.32e-08
1.79e+00,4.54e-19,2.72e-18,-7.72e-18,7.93e-01,6.25e-19,-2.27e-18,6.99e-19,7.90e-01,5.67e+00,3.34e-03,8.79e-03,2.89e-03,-6.71e-08,9.94e-03,7.70e-03,9.94e-03,-7.15e-08
1.90e+00,0.00e+00,2.61e-18,-6.59e-18,7.81e-01,1.37e-18,-1.36e-18,1.11e-18,7.77e-01,6.15e+00,3.91e-03,1.03e-02,3.30e-03,-9.45e-08,1.13e-02,8.82e-03,1.13e-02,-9.99e-08
2.00e+00,-2.50e-18,4.77e-18,-4.54e-18,7.70e-01,2.22e-18,2.27e-19,1.39e-18,7.65e-01,6.61e+00,4.47e-03,1.18e-02,3.67e-03,-1.39e-07,1.28e-02,9.88e-03,1.28e-02,-1.45e-07
