F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.26e-17,1.08e-17,-4.67e-17,9.56e-01,-4.05e-18,8.26e-17,-2.17e-17,9.55e-01,1.58e+00,1.77e-02,1.72e-02,1.54e-02,1.27e-07,-3.48e-03,1.49e-02,-3.48e-03,-1.72e-07
1.20e+00,-3.60e-17,2.36e-17,9.92e-17,9.18e-01,-7.78e-18,1.53e-16,-6.28e-17,9.17e-01,2.94e+00,2.93e-02,2.16e-02,2.25e-02,-6.60e-08,-7.61e-03,1.65e-02,-7.59e-03,-1.05e-07
1.30e+00,9.56e-17,6.83e-19,2.55e-16,8.86e-01,-2.73e-17,1.99e-16,-3.98e-17,8.82e-01,4.13e+00,3.45e-02,1.42e-02,2.35e-02,1.44e-09,-1.07e-02,9.67e-03,-1.07e-02,-2.00e-09
1.40e+00,6.71e-17,1.72e-17,2.18e-16,8.57e-01,-4.16e-18,8.01e-17,-3.40e-17,8.52e-01,5.21e+00,3.42e-02,-2.58e-03,2.09e-02,-4.08e-09,-1.18e-02,-1.57e-03,-1.17e-02,-6.96e-09
