F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,1.25e-17,1.07e-17,9.26e-18,9.59e-01,1.31e-18,-2.84e-18,3.40e-18,9.56e-01,1.52e+00,8.39e-03,1.31e-02,8.37e-03,-1.89e-07,-1.81e-02,1.31e-02,-1.81e-02,-1.83e-07
1.20e+00,8.52e-18,-1.18e-17,1.21e-17,9.27e-01,4.24e-18,3.29e-18,3.10e-18,9.22e-01,2.74e+00,1.78e-02,2.52e-02,1.77e-02,-1.29e-09,-3.29e-02,2.51e-02,-3.28e-02,-1.52e-09
1.29e+00,-1.10e-17,-1.75e-17,1.65e-17,9.03e-01,8.84e-18,-3.86e-18,-3.11e-18,8.95e-01,3.79e+00,2.76e-02,3.68e-02,2.73e-02,-1.95e-10,-4.62e-02,3.65e-02,-4.62e-02,-2.06e-10
1.40e+00,-1.36e-18,-2.54e-17,3.15e-17,8.84e-01,8.07e-18,-2.86e-17,-9.56e-18,8.74e-01,4.73e+00,3.75e-02,4.84e-02,3.69e-02,-5.81e-07,-5.94e-02,4.79e-02,-5.93e-02,-6.42e-07
1.50e+00,4.09e-18,-4.77e-17,4.31e-17,8.71e-01,9.32e-18,-2.09e-17,-4.81e-18,8.58e-01,5.60e+00,4.73e-02,6.06e-02,4.63e-02,-6.43e-07,-7.32e-02,5.97e-02,-7.30e-02,-7.07e-07
1.60e+00,1.59e-17,-2.22e-17,3.45e-17,8.63e-01,5.39e-18,-1.36e-17,-2.91e-18,8.46e-01,6.43e+00,5.70e-02,7.38e-02,5.55e-02,-1.01e-06,-8.78e-02,7.22e-02,-8.76e-02,-1.05e-06
1.69e+00,2.04e-17,-1.00e-17,3.45e-17,8.59e-01,5.93e-18,-2.72e-17,6.39e-18,8.38e-01,7.22e+00,6.65e-02,8.80e-02,6.44e-02,-1.49e-10,-1.03e-01,8.58e-02,-1.03e-01,-1.81e-10
