index,name,seed,status,box_size,model1.intensity,model1.radius,model2.intensity,model2.min_r1,model2.max_r1,model3.intensity,model3.radius,n_points,n_final,n_removed_floaters,n_closed_voxels,n_filled_voxels,filler_fraction,phr,spheres_npz,voxel_npz
0,phr_25.85_id1,1000,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6787,892,35,5005,0,0.11671805700528301,25.853739872192474,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_25.85_id1_voxel.npz
1,phr_20.99_id2,1001,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6703,766,41,4075,0,0.09690578171303794,20.99429547103374,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_20.99_id2_voxel.npz
2,phr_15.09_id3,1002,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6643,555,57,2823,0,0.07160653797086147,15.090557391221935,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_15.09_id3_voxel.npz
3,phr_17.11_id4,1003,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6773,655,71,3006,0,0.08040488388183022,17.106865890188566,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_17.11_id4_voxel.npz
4,phr_26.35_id5,1004,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6811,910,38,4987,0,0.11867368934640288,26.34525376836387,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_26.35_id5_voxel.npz
5,phr_13.26_id6,1005,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6788,508,66,2249,0,0.06347206725135675,13.26009348598453,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_13.26_id6_voxel.npz
6,phr_19.31_id7,1006,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6810,710,69,3498,0,0.08983111175099082,19.31031979451538,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_19.31_id7_voxel.npz
7,phr_24.58_id8,1007,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6761,859,23,5089,0,0.1116030186324971,24.57839644737978,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_24.58_id8_voxel.npz
8,phr_19.04_id9,1008,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6777,695,68,3372,0,0.08867532903814083,19.037694744349565,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_19.04_id9_voxel.npz
9,phr_24.62_id10,1009,generated,3.0,250.0,0.1,2,0.25,0.5,1.8,0.4,6777,879,50,4894,0,0.11178698404699916,24.624010289368922,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_24.62_id10_voxel.npz
10,phr_27.19_id11,1010,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6725,952,62,5242,0,0.12200506304814694,27.18757797925306,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_27.19_id11_voxel.npz
11,phr_30.88_id12,1011,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6787,1054,58,6071,0,0.13631837214603654,30.880575659494074,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_30.88_id12_voxel.npz
12,phr_32.59_id13,1012,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6688,1099,71,6364,0,0.14280115338316396,32.59378638570982,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_32.59_id13_voxel.npz
13,phr_23.28_id14,1013,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6763,825,59,4618,0,0.10633600883033989,23.280418030117126,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_23.28_id14_voxel.npz
14,phr_26.97_id15,1014,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6682,927,59,5248,0,0.12116522093846357,26.97462531532868,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_26.97_id15_voxel.npz
15,phr_31.79_id16,1015,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6780,1042,95,6398,0,0.1397537262994557,31.78522383516334,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_31.79_id16_voxel.npz
16,phr_28.10_id17,1016,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6842,982,59,5181,0,0.12560038712722008,28.10384225242769,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_28.10_id17_voxel.npz
17,phr_23.92_id18,1017,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6634,827,71,4910,0,0.10894351861849973,23.921083227405084,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_23.92_id18_voxel.npz
18,phr_29.81_id19,1018,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6609,1014,59,6076,0,0.13219914656044662,29.80528344894288,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_29.81_id19_voxel.npz
19,phr_29.71_id20,1019,generated,3.0,250.0,0.1,2.5,0.25,0.5,1.8,0.4,6708,1041,72,5532,0,0.13185121197214925,29.714925150126366,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_29.71_id20_voxel.npz
20,phr_31.19_id21,1020,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6815,1039,70,6195,0,0.13750614884401732,31.192543473422425,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_31.19_id21_voxel.npz
21,phr_28.17_id22,1021,generated,3.0,250.0,0.1,3,0.25,0.5,1.8,0.4,6799,985,43,5197,0,0.1258443412638424,28.166286744083354,,C:\Coding\mixed-fft-master\microstructure_generation/3D_samples/improved_struct_v2\voxel_structures\phr_28.17_id22_voxel.npz
