F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,1.93e-19,1.11e-19,-4.54e-19,9.88e-01,-1.17e-20,-1.70e-19,7.54e-20,9.88e-01,4.01e-01,-1.06e-04,2.16e-03,-1.02e-04,1.86e-10,-9.29e-04,2.08e-03,-9.28e-04,2.19e-10
1.04e+00,5.59e-20,8.06e-20,0.00e+00,9.78e-01,-1.22e-21,-2.27e-19,1.04e-19,9.76e-01,7.83e-01,-2.08e-04,4.34e-03,-1.94e-04,2.18e-11,-1.78e-03,4.04e-03,-1.78e-03,4.11e-11
1.07e+00,2.61e-19,2.00e-19,-9.09e-19,9.67e-01,1.95e-20,-1.13e-19,1.06e-20,9.65e-01,1.14e+00,-2.95e-04,6.54e-03,-2.65e-04,-2.77e-10,-2.57e-03,5.87e-03,-2.57e-03,-2.98e-10
1.09e+00,6.21e-20,2.54e-19,-7.95e-19,9.57e-01,5.37e-20,1.98e-19,3.19e-20,9.55e-01,1.50e+00,-3.56e-04,8.73e-03,-3.09e-04,-1.05e-10,-3.29e-03,7.58e-03,-3.28e-03,-5.74e-11
1.12e+00,-3.33e-19,2.05e-19,-6.81e-19,9.47e-01,6.58e-20,3.97e-19,1.10e-19,9.45e-01,1.83e+00,-3.81e-04,1.09e-02,-3.21e-04,1.81e-11,-3.93e-03,9.18e-03,-3.92e-03,1.82e-11
1.14e+00,-2.87e-19,2.10e-19,-9.09e-19,9.38e-01,2.85e-20,5.68e-19,1.38e-19,9.35e-01,2.16e+00,-3.64e-04,1.31e-02,-2.97e-04,1.00e-10,-4.51e-03,1.06e-02,-4.49e-03,1.22e-10
1.17e+00,-3.12e-19,1.17e-19,-6.81e-19,9.29e-01,2.37e-20,8.52e-19,1.38e-19,9.26e-01,2.47e+00,-2.97e-04,1.53e-02,-2.35e-04,3.33e-10,-5.02e-03,1.20e-02,-5.00e-03,3.39e-10
1.19e+00,-3.26e-19,2.73e-19,-6.81e-19,9.20e-01,-2.75e-20,5.68e-19,1.06e-20,9.16e-01,2.77e+00,-1.77e-04,1.74e-02,-1.36e-04,3.54e-11,-5.47e-03,1.33e-02,-5.44e-03,4.08e-11
1.22e+00,-2.62e-19,1.23e-19,-2.27e-19,9.12e-01,-8.10e-20,7.95e-19,4.97e-20,9.08e-01,3.06e+00,-4.97e-07,1.96e-02,-3.70e-07,-2.99e-10,-5.86e-03,1.45e-02,-5.83e-03,-2.89e-10
1.24e+00,5.96e-19,1.04e-19,-1.13e-18,9.03e-01,-1.01e-19,0.00e+00,-1.06e-19,8.99e-01,3.34e+00,2.35e-04,2.17e-02,1.70e-04,-1.40e-10,-6.20e-03,1.56e-02,-6.17e-03,-1.29e-10
1.27e+00,-8.52e-20,2.79e-19,2.27e-19,8.95e-01,-1.36e-19,2.27e-19,-2.69e-19,8.91e-01,3.62e+00,5.37e-04,2.39e-02,3.77e-04,-2.16e-11,-6.49e-03,1.67e-02,-6.46e-03,-1.23e-12
1.29e+00,-2.20e-19,2.58e-19,9.09e-19,8.87e-01,-5.32e-20,5.68e-19,-4.97e-20,8.83e-01,3.88e+00,9.78e-04,2.59e-02,6.68e-04,-2.16e-08,-6.73e-03,1.76e-02,-6.69e-03,-2.05e-08
1.32e+00,3.05e-19,6.39e-19,-9.09e-19,8.80e-01,-2.23e-19,9.09e-19,-3.55e-20,8.75e-01,4.14e+00,1.55e-03,2.79e-02,1.03e-03,-1.67e-08,-6.90e-03,1.84e-02,-6.86e-03,-1.39e-08
1.34e+00,2.20e-19,8.96e-19,-9.09e-19,8.72e-01,-2.54e-19,1.70e-19,-9.23e-20,8.67e-01,4.39e+00,2.19e-03,2.99e-02,1.41e-03,-1.77e-08,-7.02e-03,1.92e-02,-6.98e-03,-1.87e-08
1.37e+00,-3.83e-19,1.06e-18,-1.81e-18,8.65e-01,-2.86e-19,1.70e-19,-4.26e-19,8.60e-01,4.64e+00,2.84e-03,3.19e-02,1.79e-03,-2.82e-10,-7.10e-03,1.99e-02,-7.06e-03,-2.85e-10
