F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-4.97e-20,-2.68e-20,-3.83e-19,9.88e-01,-9.99e-21,3.40e-19,4.44e-22,9.88e-01,4.45e-01,3.99e-03,-1.10e-03,3.85e-03,5.66e-11,-2.65e-03,-1.06e-03,-2.66e-03,-7.20e-11
1.04e+00,0.00e+00,-1.44e-21,8.52e-20,9.77e-01,-3.71e-20,2.84e-19,1.28e-20,9.78e-01,8.69e-01,7.97e-03,-2.19e-03,7.42e-03,3.29e-11,-5.13e-03,-2.04e-03,-5.13e-03,-4.88e-11
1.07e+00,-5.47e-19,8.90e-20,-3.40e-19,9.66e-01,6.43e-21,5.68e-20,5.32e-21,9.67e-01,1.27e+00,1.19e-02,-3.27e-03,1.07e-02,5.94e-11,-7.44e-03,-2.94e-03,-7.44e-03,-3.24e-11
1.09e+00,-5.25e-19,1.10e-19,-4.54e-19,9.56e-01,4.77e-20,-5.68e-20,-2.13e-20,9.57e-01,1.66e+00,1.58e-02,-4.36e-03,1.38e-02,-6.82e-11,-9.58e-03,-3.79e-03,-9.60e-03,-1.09e-10
1.12e+00,-7.10e-19,1.22e-19,0.00e+00,9.46e-01,9.99e-20,-5.68e-19,-1.06e-20,9.48e-01,2.03e+00,1.98e-02,-5.45e-03,1.66e-02,-3.81e-10,-1.15e-02,-4.59e-03,-1.16e-02,-3.06e-10
1.14e+00,-5.39e-19,1.21e-19,-7.95e-19,9.36e-01,8.88e-20,0.00e+00,1.01e-19,9.38e-01,2.39e+00,2.37e-02,-6.56e-03,1.93e-02,2.69e-12,-1.34e-02,-5.35e-03,-1.34e-02,-1.08e-11
1.17e+00,-1.02e-18,1.39e-19,-5.68e-19,9.26e-01,1.45e-19,2.27e-19,1.74e-19,9.29e-01,2.73e+00,2.76e-02,-7.68e-03,2.17e-02,2.82e-11,-1.51e-02,-6.08e-03,-1.52e-02,2.09e-11
1.19e+00,-1.19e-18,2.18e-19,-1.81e-18,9.17e-01,1.45e-19,3.40e-19,1.81e-19,9.21e-01,3.06e+00,3.14e-02,-8.84e-03,2.40e-02,3.23e-12,-1.68e-02,-6.78e-03,-1.68e-02,7.13e-13
1.22e+00,-1.36e-18,3.18e-19,-1.59e-18,9.08e-01,1.47e-19,9.09e-19,2.84e-19,9.12e-01,3.38e+00,3.53e-02,-1.00e-02,2.61e-02,2.16e-10,-1.83e-02,-7.46e-03,-1.84e-02,2.35e-10
1.24e+00,-1.30e-18,2.91e-19,-1.36e-18,8.99e-01,1.60e-19,1.13e-19,5.00e-19,9.04e-01,3.70e+00,3.91e-02,-1.12e-02,2.81e-02,9.18e-11,-1.97e-02,-8.12e-03,-1.98e-02,1.57e-10
1.27e+00,-5.11e-19,2.53e-19,-1.81e-18,8.91e-01,1.46e-19,2.27e-19,3.64e-19,8.97e-01,4.00e+00,4.29e-02,-1.24e-02,3.00e-02,-1.05e-10,-2.10e-02,-8.77e-03,-2.12e-02,-9.77e-11
