F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.02e+00,-6.66e-21,-5.63e-20,-3.26e-19,9.88e-01,-1.78e-20,8.52e-20,1.57e-20,9.88e-01,3.43e-01,-8.01e-04,-1.02e-03,-7.73e-04,4.75e-11,1.52e-05,-9.87e-04,1.51e-05,3.71e-11
1.04e+00,-1.48e-19,-1.35e-19,-2.55e-19,9.77e-01,2.88e-20,-8.52e-20,7.59e-20,9.77e-01,6.70e-01,-1.51e-03,-2.04e-03,-1.41e-03,3.74e-10,2.74e-05,-1.90e-03,2.74e-05,3.47e-10
1.07e+00,-1.17e-19,-9.32e-20,-5.68e-20,9.66e-01,5.40e-20,-1.42e-19,7.50e-20,9.66e-01,9.83e-01,-2.14e-03,-3.06e-03,-1.93e-03,1.22e-12,4.08e-05,-2.75e-03,4.07e-05,-3.05e-12
1.09e+00,-7.45e-20,-1.30e-19,-1.70e-19,9.56e-01,3.33e-20,-2.27e-19,1.82e-19,9.55e-01,1.28e+00,-2.69e-03,-4.06e-03,-2.34e-03,-2.51e-10,5.89e-05,-3.53e-03,5.88e-05,-2.70e-10
1.12e+00,6.67e-19,-2.02e-19,0.00e+00,9.46e-01,1.75e-20,-1.13e-19,2.37e-19,9.45e-01,1.57e+00,-3.15e-03,-5.06e-03,-2.65e-03,-2.55e-10,8.46e-05,-4.25e-03,8.45e-05,-2.72e-10
1.14e+00,5.11e-19,-2.84e-20,1.13e-19,9.37e-01,3.25e-20,-1.70e-19,2.81e-19,9.35e-01,1.84e+00,-3.53e-03,-6.05e-03,-2.88e-03,-9.28e-11,1.20e-04,-4.92e-03,1.20e-04,-1.00e-10
1.17e+00,8.13e-19,-5.23e-20,2.27e-19,9.27e-01,3.56e-20,-2.84e-19,1.80e-19,9.26e-01,2.11e+00,-3.84e-03,-7.02e-03,-3.03e-03,2.25e-11,1.67e-04,-5.53e-03,1.67e-04,2.43e-11
1.19e+00,9.12e-19,-1.85e-19,6.81e-19,9.18e-01,7.29e-20,-1.70e-19,2.80e-19,9.17e-01,2.36e+00,-4.07e-03,-7.98e-03,-3.12e-03,-1.82e-10,2.27e-04,-6.09e-03,2.26e-04,-1.67e-10
1.22e+00,8.52e-19,-2.31e-19,2.27e-19,9.10e-01,7.30e-20,-5.68e-20,2.69e-19,9.08e-01,2.61e+00,-4.24e-03,-8.92e-03,-3.15e-03,1.01e-10,3.00e-04,-6.61e-03,2.99e-04,1.20e-10
1.24e+00,4.26e-19,-2.67e-19,6.81e-19,9.01e-01,7.72e-20,4.54e-19,3.80e-19,8.99e-01,2.85e+00,-4.35e-03,-9.85e-03,-3.14e-03,2.03e-10,3.86e-04,-7.09e-03,3.85e-04,2.01e-10
1.27e+00,1.27e-19,-2.81e-19,6.81e-19,8.93e-01,7.63e-20,1.13e-19,3.60e-19,8.91e-01,3.09e+00,-4.41e-03,-1.07e-02,-3.09e-03,-2.82e-11,4.86e-04,-7.52e-03,4.85e-04,-3.40e-11
1.29e+00,1.49e-19,-4.12e-19,6.81e-19,8.85e-01,8.46e-20,5.68e-19,3.99e-19,8.83e-01,3.31e+00,-4.41e-03,-1.16e-02,-3.01e-03,-1.71e-10,5.98e-04,-7.92e-03,5.96e-04,-1.47e-10
1.32e+00,-1.56e-19,-2.71e-19,0.00e+00,8.78e-01,1.05e-19,1.70e-19,4.63e-19,8.75e-01,3.53e+00,-4.38e-03,-1.25e-02,-2.90e-03,-2.54e-10,7.21e-04,-8.29e-03,7.19e-04,-2.25e-10
1.34e+00,-1.91e-19,-2.61e-19,4.54e-19,8.70e-01,8.70e-20,9.09e-19,4.70e-19,8.67e-01,3.75e+00,-4.30e-03,-1.34e-02,-2.77e-03,-2.03e-10,8.55e-04,-8.63e-03,8.52e-04,-1.63e-10
1.37e+00,-3.40e-19,-1.68e-19,4.54e-19,8.63e-01,1.13e-19,2.27e-19,3.67e-19,8.60e-01,3.96e+00,-4.19e-03,-1.42e-02,-2.63e-03,-1.49e-10,9.97e-04,-8.94e-03,9.94e-04,-8.22e-11
1.39e+00,-5.25e-19,-1.90e-19,2.27e-19,8.56e-01,6.99e-20,1.13e-19,3.09e-19,8.52e-01,4.16e+00,-4.06e-03,-1.51e-02,-2.48e-03,-9.49e-12,1.14e-03,-9.22e-03,1.14e-03,-1.39e-11
1.42e+00,0.00e+00,-3.37e-20,9.09e-19,8.49e-01,5.18e-20,-1.13e-19,2.69e-19,8.45e-01,4.36e+00,-3.90e-03,-1.59e-02,-2.32e-03,-1.68e-11,1.30e-03,-9.48e-03,1.30e-03,-2.10e-12
1.44e+00,-6.10e-19,-5.02e-19,1.13e-18,8.42e-01,2.39e-19,-2.27e-19,3.97e-19,8.39e-01,4.55e+00,-3.71e-03,-1.67e-02,-2.16e-03,-3.56e-11,1.48e-03,-9.71e-03,1.47e-03,4.91e-11
1.47e+00,-1.27e-18,-1.21e-19,-1.13e-18,8.36e-01,5.93e-19,0.00e+00,-2.62e-19,8.32e-01,4.74e+00,-3.51e-03,-1.75e-02,-1.99e-03,2.13e-09,1.66e-03,-9.92e-03,1.66e-03,8.48e-10
1.49e+00,-7.10e-20,-6.59e-19,4.54e-19,8.29e-01,1.05e-18,2.72e-18,1.77e-19,8.25e-01,4.93e+00,-3.31e-03,-1.83e-02,-1.83e-03,9.29e-12,1.84e-03,-1.01e-02,1.83e-03,-2.75e-11
1.52e+00,-2.07e-18,-1.42e-18,0.00e+00,8.23e-01,2.98e-18,4.94e-18,6.71e-19,8.19e-01,5.11e+00,-3.08e-03,-1.92e-02,-1.66e-03,-1.40e-10,1.98e-03,-1.03e-02,1.97e-03,-1.36e-10
