F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,-1.05e-17,-1.59e-18,-1.27e-17,9.58e-01,-1.30e-18,-1.10e-18,2.23e-18,9.56e-01,1.39e+00,2.80e-03,1.50e-02,2.79e-03,-7.70e-08,5.07e-03,1.50e-02,5.08e-03,-9.33e-08
1.20e+00,1.02e-18,3.01e-18,5.79e-18,9.25e-01,6.99e-18,-6.93e-18,3.44e-18,9.21e-01,2.51e+00,5.29e-03,3.06e-02,5.26e-03,-4.11e-10,6.66e-03,3.05e-02,6.69e-03,-7.13e-10
1.30e+00,1.69e-17,-1.28e-17,3.29e-18,8.97e-01,4.06e-18,-2.20e-17,1.16e-17,8.93e-01,3.48e+00,8.04e-03,4.65e-02,7.97e-03,-2.58e-07,5.35e-03,4.61e-02,5.45e-03,-2.78e-07
1.40e+00,3.22e-17,-1.02e-18,-1.54e-17,8.75e-01,4.27e-18,-6.81e-19,6.10e-18,8.71e-01,4.35e+00,1.14e-02,6.24e-02,1.12e-02,-4.06e-07,1.15e-03,6.15e-02,1.34e-03,-3.92e-07
1.50e+00,3.50e-17,1.04e-17,-3.34e-17,8.57e-01,-3.52e-18,2.81e-17,-1.42e-18,8.55e-01,5.15e+00,1.55e-02,7.80e-02,1.53e-02,-7.09e-11,-6.28e-03,7.66e-02,-5.94e-03,-1.44e-10
1.60e+00,1.81e-17,4.77e-18,-2.84e-17,8.43e-01,-2.07e-18,5.02e-17,3.18e-18,8.43e-01,5.91e+00,2.05e-02,9.34e-02,2.00e-02,-4.97e-10,-1.74e-02,9.13e-02,-1.69e-02,-1.33e-09
1.70e+00,1.36e-17,-4.13e-17,-2.63e-17,8.32e-01,-8.82e-18,6.72e-17,4.06e-18,8.35e-01,6.63e+00,2.62e-02,1.08e-01,2.55e-02,-4.01e-09,-3.30e-02,1.05e-01,-3.22e-02,-1.21e-08
