F11,F12,F13,F21,F22,F23,F31,F32,F33,P11,P12,P13,P21,P22,P23,P31,P32,P33
1.10e+00,2.65e-19,7.99e-19,3.67e-19,9.58e-01,-1.14e-19,-6.35e-20,3.00e-18,9.57e-01,1.03e+00,1.52e-04,-7.80e-04,1.51e-04,1.23e-15,3.30e-03,-7.79e-04,3.30e-03,3.98e-15
1.19e+00,-5.06e-19,-5.10e-20,5.49e-19,9.22e-01,-7.88e-19,1.49e-18,4.79e-18,9.22e-01,1.90e+00,1.81e-04,-1.47e-03,1.80e-04,6.60e-16,6.28e-03,-1.46e-03,6.29e-03,9.48e-16
1.30e+00,2.07e-18,1.65e-18,1.24e-19,8.91e-01,-3.81e-18,6.38e-19,5.29e-18,8.91e-01,2.64e+00,1.24e-04,-2.07e-03,1.25e-04,-7.70e-16,9.12e-03,-2.03e-03,9.13e-03,-1.32e-15
1.40e+00,1.09e-18,1.13e-18,-1.47e-18,8.64e-01,-2.13e-20,-2.95e-18,2.63e-18,8.64e-01,3.30e+00,2.62e-06,-2.58e-03,1.02e-05,-7.72e-15,1.19e-02,-2.50e-03,1.19e-02,-7.57e-15
1.49e+00,-5.58e-19,3.79e-18,2.04e-20,8.40e-01,-1.32e-18,-1.50e-18,4.59e-18,8.40e-01,3.89e+00,-1.74e-04,-3.02e-03,-1.50e-04,1.04e-14,1.48e-02,-2.89e-03,1.48e-02,1.91e-14
1.60e+00,1.44e-18,9.99e-18,7.35e-19,8.20e-01,2.88e-18,-3.34e-18,-3.37e-18,8.20e-01,4.44e+00,-4.04e-04,-3.43e-03,-3.50e-04,1.59e-15,1.78e-02,-3.25e-03,1.78e-02,5.78e-15
1.69e+00,5.78e-18,4.03e-18,-3.91e-19,8.02e-01,5.38e-18,6.62e-18,7.82e-18,8.01e-01,4.95e+00,-6.87e-04,-3.82e-03,-5.87e-04,1.89e-14,2.10e-02,-3.58e-03,2.10e-02,9.78e-15
1.80e+00,3.41e-18,-4.32e-18,-3.23e-18,7.86e-01,6.32e-18,6.99e-18,8.49e-18,7.85e-01,5.43e+00,-1.02e-03,-4.22e-03,-8.61e-04,3.58e-15,2.43e-02,-3.91e-03,2.44e-02,5.67e-15
